Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.951324257236315,324.82103873313406,464.47974559847313,649.0,,,,,,,,,,,,,,,
1,1,2630.821948101295,5371.893508339385,21.119054400698268,2682.534155696135,-4029.549943549049,68.795065819781,2766.2113317410835,34487.05988984937,10.924217868365105,2790.273477353739,-17405.730204251377,7.072909756747582,3040.1368684949907,23906.070780106264,39.76607002630851,0.8746006637790695,52.0,31.0,133.0,290.0,423.0,21.0,,,23.0,17.0,6.0,0.7391304347826086,198.078230099843,1978.543736980361,78.0,21.0,57.0,0.2692307692307692,144.33489846375713,4179.012693111658,25.0,13.0,12.0,0.52,1603.667555013726,25807.92599838215,16.0,5.0,11.0,0.3125,1905.1442243949875,28554.99044024396,101.0,50.0,51.0,0.495049504950495,203.3688724638319,24703.191801603552,0.0,0.0,0.0,0.0,2615.0,2636.0,2667.0,2739.0,2753.0,2778.0,2785.0,2800.0,2994.0,3090.0,0.036873074604391216,-0.035819111435713674,0.04650055876423771,-0.10945500142991146,0.008506997002329127
2,2,3715.12439460852,3619.6902807821066,15.395297396324311,3796.807627072588,-3582.707654506369,39.46732883142822,3853.915296065718,34278.007672006876,10.493141158968982,3878.0827729035504,-17061.199944047028,7.322267765401566,4125.267089680589,24503.89584363508,40.7758877774996,0.8784898361112637,56.0,33.0,133.0,286.0,419.0,23.0,1087.0,1084.0,23.0,15.0,8.0,0.6521739130434783,209.87257453387028,3618.526905459213,71.0,42.0,29.0,0.5915492957746479,112.05985017390016,3108.726280330299,25.0,13.0,12.0,0.52,1678.7612336881102,26429.49583042343,16.0,5.0,11.0,0.3125,1813.427764145855,26617.840078211015,105.0,52.0,53.0,0.4952380952380952,194.87010923850053,25721.47855996639,0.0,0.0,0.0,0.0,3700.0,3723.0,3756.0,3826.0,3841.0,3866.0,3873.0,3889.0,4079.0,4175.0,0.057980810029006985,-0.031277977714131946,0.048974877704431756,-0.10628957928475563,0.007952617432020236
3,3,4985.339219646229,3709.441991142607,13.400816208938403,5060.616522503599,-2511.8205732741353,38.181302764316,5124.0054187476935,36515.75179925158,10.131099829285256,5148.514246195391,-15692.044349960712,7.089166626502229,5398.13686849496,24838.939801258926,40.84009225728169,0.8753271843126268,54.0,29.0,133.0,290.0,423.0,25.0,1272.0,1272.0,25.0,14.0,11.0,0.56,204.5292549213563,3895.3026246070167,66.0,41.0,25.0,0.6212121212121212,160.34262693531926,2529.567631278773,25.0,13.0,12.0,0.52,1754.5539549325358,30132.476840548232,16.0,6.0,10.0,0.375,1764.5143364474618,24583.861985425883,100.0,49.0,51.0,0.49,164.07731511840004,26218.093356920537,0.0,0.0,0.0,0.0,4971.0,4996.0,5025.0,5079.0,5111.0,5136.0,5143.0,5158.0,5351.0,5448.0,0.05513747226934147,-0.06383522320080136,0.04804923542525823,-0.11244642808136593,0.0066056488896552665
4,4,6245.626897119459,4472.355519851141,15.763199088691184,6318.068557102735,-2538.7277237704407,44.47573901273184,6385.158399896779,32893.94216885337,10.492526677065944,6411.452034599137,-14743.511888947012,6.40583035353366,6657.096767654115,24092.98955944227,42.486660542458154,0.8771609533539976,65.0,32.0,129.0,290.0,419.0,33.0,1260.0,1259.0,33.0,20.0,13.0,0.6060606060606061,180.64529242430325,3630.0425128579727,67.0,28.0,39.0,0.417910447761194,151.97785862441995,2245.1004749386757,26.0,13.0,13.0,0.5,1529.6073664779556,27227.826055626738,15.0,6.0,9.0,0.4,1617.7341821198652,23534.209269165207,108.0,53.0,55.0,0.4907407407407407,198.3346066582544,25444.32020283443,0.0,0.0,0.0,0.0,6226.0,6259.0,6291.0,6357.0,6372.0,6398.0,6406.0,6420.0,6610.0,6710.0,0.04039153229712737,-0.059863788149249454,0.046501187319722075,-0.10972515872101382,0.008232046345636056
5,5,7440.972626301007,2691.983372544252,17.470481775532306,7494.24660900144,-3990.177651249194,25.47965400864057,7578.625740002399,33089.57928607849,9.62687205029514,7603.620306972775,-16576.84344201645,7.316021274473285,7851.292031571093,23962.705031098652,39.53783124964034,0.8656956830781328,52.0,35.0,134.0,286.0,420.0,17.0,1192.0,1194.0,29.0,14.0,15.0,0.4827586206896552,192.58733144666783,2506.768196083054,73.0,15.0,58.0,0.2054794520547945,149.67086100918354,4770.9470909931715,25.0,14.0,11.0,0.56,1673.332384825409,24942.896320309326,16.0,6.0,10.0,0.375,1632.09854716788,24158.372142193217,101.0,50.0,51.0,0.495049504950495,216.63643263183803,25632.373048803285,0.0,0.0,0.0,0.0,7428.0,7445.0,7480.0,7552.0,7565.0,7590.0,7598.0,7614.0,7807.0,7900.0,0.0715410553463595,-0.03750982389526604,0.050569769121525714,-0.09845653383147036,0.009040566678540198
6,6,8674.821948101295,4723.846525015507,17.113850286943556,8742.10949479597,-3216.3056445582233,66.9410631101001,8810.043050056885,36967.68500920318,10.362608628094788,8834.561094107044,-15731.314736064136,7.251582751522574,9083.89610695673,24244.01251677919,40.1407079554107,0.8806795733035653,46.0,28.0,137.0,289.0,426.0,18.0,1233.0,1233.0,25.0,14.0,11.0,0.56,230.427760380669,3141.3682787939824,77.0,37.0,40.0,0.4805194805194805,130.0751440225624,3120.723295720835,25.0,13.0,12.0,0.52,1760.633881985622,29535.5579429067,16.0,6.0,10.0,0.375,1730.6024125654687,25192.894524750547,102.0,50.0,52.0,0.4901960784313725,227.15293491594977,25318.35905785732,0.0,0.0,0.0,0.0,8662.0,8680.0,8708.0,8782.0,8797.0,8822.0,8829.0,8845.0,9040.0,9134.0,0.048779688154646936,-0.04044240765570304,0.04762629527781652,-0.1100100304139267,0.009369444713771621
7,7,9880.675905137385,4030.051923270688,12.595124327021995,9963.057993729491,-2858.649822435301,39.563831670413165,10016.77519194157,32371.798832164302,10.784669374171074,10042.45203459914,-14815.38136856657,6.57882933810523,10288.287546694672,23964.04455246121,42.88434567629584,0.8857021694028316,54.0,30.0,128.0,290.0,418.0,24.0,1211.0,1205.0,25.0,12.0,13.0,0.48,200.8705715621763,4013.5087431319,77.0,50.0,27.0,0.6493506493506493,172.38556273213106,2058.707867165247,27.0,14.0,13.0,0.5185185185185185,1532.74037278766,25326.272141027093,15.0,5.0,10.0,0.3333333333333333,1644.010365735547,23764.922219939715,105.0,49.0,56.0,0.4666666666666667,194.7484330717821,25199.51739595827,0.0,0.0,0.0,0.0,9869.0,9893.0,9923.0,9989.0,10003.0,10030.0,10037.0,10051.0,10241.0,10341.0,0.04984317209470464,-0.060303140797173534,0.04734801364404699,-0.11096645606596421,0.008126692998147535
8,8,11078.452622485976,4831.774735267185,15.886087199246363,11130.71220759485,-2955.930386502829,58.46053839784731,11213.076469648042,36753.12078510147,10.17378451305838,11236.96276576095,-16192.297372676709,7.278480466757096,11485.712207594815,25511.370618864228,42.801271361219214,0.8810786153863657,49.0,23.0,138.0,289.0,427.0,26.0,1193.0,1200.0,35.0,21.0,14.0,0.6,156.9833673466546,2155.0258366344306,77.0,22.0,55.0,0.2857142857142857,135.8744202610523,3049.1514398162726,25.0,13.0,12.0,0.52,1794.3170644783197,29034.51865878157,16.0,5.0,11.0,0.3125,1884.5736681477931,26426.41909648341,108.0,54.0,54.0,0.5,184.2964121600202,27144.290275627463,0.0,0.0,0.0,0.0,11061.0,11087.0,11110.0,11185.0,11200.0,11224.0,11232.0,11248.0,11438.0,11537.0,0.03248979431943112,-0.04596671859441378,0.04882080830549981,-0.11638704655510282,0.007224089011655976
9,9,12301.941760104612,3806.451930799709,15.103679193379364,12375.383477496409,-3110.152765477459,61.590028327295656,12438.693585327164,32308.008371442054,11.122483364958413,12463.085375129738,-15634.856491373695,6.972779931696501,12714.13686849496,23690.666922924,40.64380728638363,0.8725232374164414,44.0,23.0,142.0,291.0,433.0,21.0,1227.0,1221.0,21.0,15.0,6.0,0.7142857142857143,235.15377584465463,2293.255084599482,83.0,46.0,37.0,0.5542168674698795,121.70567407474672,3227.822349068632,26.0,14.0,12.0,0.5384615384615384,1504.0429671473655,22706.891787007196,16.0,5.0,11.0,0.3125,1707.7482315969198,25740.565743058432,105.0,54.0,51.0,0.5142857142857142,157.271805442323,24508.387029717294,0.0,0.0,0.0,0.0,12287.0,12308.0,12331.0,12411.0,12425.0,12451.0,12458.0,12473.0,12665.0,12764.0,0.061777681715069095,-0.03913173507927766,0.04655325546086062,-0.1092269847528914,0.006638555425813731
