Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.13569190103657,342.78485932817046,485.1982715640951,238.0,,,,,,,,,,,,,,,
1,1,5595.723493351174,272.5962081554641,17.000716055049363,5711.587609273887,-192.836940473923,5.817738844746259,5744.612138884952,3521.2588452290506,10.18444225648953,5766.597142200184,-1105.6468312470006,10.191861603456228,5976.745010988703,484.02473529767013,37.70285331700671,0.9855143036364816,132.0,87.0,76.0,238.0,314.0,45.0,,,45.0,21.0,24.0,0.4666666666666667,15.819858224927556,310.78114059959813,9.0,5.0,4.0,0.5555555555555556,46.41532295786157,304.3985603593852,22.0,13.0,9.0,0.5909090909090909,183.2409590980755,3038.249010704696,21.0,5.0,16.0,0.238095238095238,114.08179336145253,2132.123057893924,83.0,36.0,47.0,0.4337349397590361,18.31434898362977,519.9082523971308,,,,,5575.0,5620.0,5707.0,5716.0,5732.0,5754.0,5762.0,5783.0,5946.0,6021.0,0.058034036247141575,-0.24069725875026643,0.05203848031403555,-0.10318104311191821,0.037837630286325426
2,2,6536.14093390433,267.1563606332697,16.802922622302493,6630.726017299569,-113.48484298875069,7.64389620259217,6688.03214246716,3533.4979522376234,10.017089602570202,6709.452034599137,-1079.5147526008773,13.4095873627913,6923.835512095537,523.9309180564976,38.849644532373055,0.984007780171574,112.0,73.0,97.0,242.0,339.0,39.0,942.0,943.0,44.0,20.0,24.0,0.4545454545454545,20.168402271915753,243.06988699460464,11.0,5.0,6.0,0.4545454545454545,18.92348752729593,90.84197747863388,22.0,13.0,9.0,0.5909090909090909,176.6774868370088,2921.139249907039,21.0,3.0,18.0,0.1428571428571428,124.60444145840664,2329.403220282623,97.0,51.0,46.0,0.5257731958762887,17.73798102410172,486.4824845244231,,,,,6517.0,6556.0,6629.0,6636.0,6675.0,6697.0,6706.0,6726.0,6880.0,6968.0,0.07549287699573538,-0.166749030345592,0.05000073276542469,-0.11542634425161573,0.033855572200052836
3,3,7479.479408298129,301.7214738888575,17.4930448265311,7596.861837359607,-244.79975999701895,5.669641191401513,7629.038128119259,3789.874839844187,10.327291806658344,7648.876695499281,-1245.5102658768374,12.55696309558556,7862.70186397217,540.5669195514647,37.56293562461005,0.9869014339472983,125.0,91.0,76.0,244.0,320.0,34.0,947.0,941.0,52.0,27.0,25.0,0.5192307692307693,18.756958745428104,327.67460370178947,13.0,8.0,5.0,0.6153846153846154,53.15753483276947,382.06297163135207,23.0,14.0,9.0,0.6086956521739131,182.6055888733338,3012.071881837811,20.0,3.0,17.0,0.15,141.2369843489947,2547.2493084599555,93.0,45.0,48.0,0.4838709677419355,16.75669429755454,512.7301782855834,,,,,7464.0,7498.0,7589.0,7602.0,7615.0,7638.0,7646.0,7665.0,7831.0,7909.0,0.06216646930585207,-0.21714700550938773,0.04818248533000136,-0.11339688497032505,0.030998371693662652
4,4,8392.027373698993,261.6742649600971,15.29950280211544,8474.60271279885,-126.25575256087394,20.383723206912453,8536.12585081242,3299.786555000995,9.923356145915625,8559.698643600574,-1216.5398602171126,10.191861603456228,8770.978757597795,549.5952691915329,35.442624569357136,0.9822091181644008,97.0,66.0,107.0,241.0,348.0,31.0,910.0,907.0,31.0,21.0,10.0,0.6774193548387096,18.088758977389045,315.74476932418077,20.0,8.0,12.0,0.4,17.745189670948317,104.80181858674092,22.0,13.0,9.0,0.5909090909090909,172.32755695844398,2909.1459239617943,24.0,6.0,18.0,0.25,107.28515080586324,1983.6049779850312,86.0,41.0,45.0,0.4767441860465116,15.521775089267134,575.6346324059141,,,,,8371.0,8402.0,8468.0,8486.0,8523.0,8545.0,8554.0,8575.0,8731.0,8816.0,0.06912700788572927,-0.1405495536719605,0.052223849659994756,-0.08818876743316602,0.028242191953544316
5,5,9309.191103415757,302.1524496829311,17.54855904407991,9401.301356399426,-157.82717138788848,10.191861603456228,9459.22060013549,3810.319264645361,10.079846246366571,9479.8023410318,-1233.9542183009191,12.73982700430681,9692.66956364498,555.3124687942546,38.3073523487451,0.9873315799641986,110.0,64.0,99.0,237.0,336.0,46.0,918.0,923.0,52.0,25.0,27.0,0.4807692307692308,16.994546455979155,250.79882221451064,18.0,7.0,11.0,0.3888888888888889,21.52848822813519,161.19734617047152,22.0,13.0,9.0,0.5909090909090909,184.8998267627083,3090.4390671406377,22.0,4.0,18.0,0.1818181818181818,135.34530050055113,2579.293804512636,90.0,44.0,46.0,0.4888888888888889,17.55476633212021,585.4464886694248,,,,,9289.0,9335.0,9399.0,9411.0,9446.0,9468.0,9476.0,9498.0,9651.0,9735.0,0.05624494017444729,-0.13640546199250494,0.04852607194319124,-0.10968421558371386,0.0316124116035729
6,6,10180.60271279885,245.1251273078033,13.130263261422384,10291.02737370293,-165.14295816069662,17.835757803111356,10327.065232943152,3263.0948236413824,10.233096696304186,10350.698643600574,-1309.357801508443,10.191861603456228,10561.347164952253,521.4123056850634,34.28681535015206,0.977209680973303,109.0,91.0,82.0,232.0,314.0,18.0,871.0,869.0,19.0,6.0,13.0,0.3157894736842105,23.343035060645363,243.23689570641096,17.0,7.0,10.0,0.4117647058823529,29.598432028596577,122.3430786136048,22.0,12.0,10.0,0.5454545454545454,169.38338496367527,2781.708184376003,24.0,7.0,17.0,0.2916666666666667,108.48298050137876,2087.7325971774253,97.0,51.0,46.0,0.5257731958762887,15.031082546801274,508.8231254194901,,,,,10176.0,10194.0,10285.0,10301.0,10315.0,10337.0,10345.0,10367.0,10527.0,10599.0,0.09522905838752935,-0.1792291500543127,0.051908814827101905,-0.08285205188100699,0.028827632917202667
7,7,11045.921461025968,298.79693618308926,15.69752584118062,11159.464162170209,-161.3294022327325,10.191861603456228,11195.629048204495,3873.675141317303,10.22190148623406,11215.876695499284,-1282.475096897387,12.739827004320285,11428.702326739462,577.2955588726087,35.546401037171236,0.98473210577421,130.0,92.0,76.0,240.0,316.0,38.0,867.0,868.0,50.0,24.0,26.0,0.48,18.40739832682764,227.98697958329805,17.0,7.0,10.0,0.4117647058823529,30.586855966595447,98.1569616232448,22.0,14.0,8.0,0.6363636363636364,191.7463798122321,3037.4417020182045,21.0,3.0,18.0,0.1428571428571428,143.0200956761055,2598.037514847821,85.0,40.0,45.0,0.4705882352941176,16.246469727941463,601.3455216501425,,,,,11027.0,11065.0,11157.0,11168.0,11182.0,11204.0,11213.0,11233.0,11393.0,11473.0,0.06160504375302034,-0.18959256988054227,0.04949986067934076,-0.11151880923232367,0.02814237781366088
8,8,11923.630086497842,259.0493054971547,16.787175354060825,12034.45203459914,-149.2492908695137,15.28779240518434,12071.459474736816,3471.2986926966632,10.140394996477,12095.430998273923,-1234.3969742299917,10.191861603456228,12305.52250847961,540.3822306425047,35.716956262700066,0.9849320882878232,125.0,86.0,79.0,241.0,320.0,39.0,879.0,876.0,47.0,26.0,21.0,0.5531914893617021,16.08660526212879,237.9415719377907,16.0,4.0,12.0,0.25,21.243637048762157,16.77382494315443,23.0,13.0,10.0,0.5652173913043478,176.57323087601915,3114.4373796606706,21.0,5.0,16.0,0.238095238095238,116.16110879204074,2216.0548890483597,89.0,40.0,49.0,0.449438202247191,14.511359781478,551.8845310887696,,,,,11906.0,11945.0,12031.0,12045.0,12058.0,12081.0,12090.0,12110.0,12266.0,12351.0,0.06209862339239307,-0.14233660290778288,0.05086661981797049,-0.09410352683706247,0.0268538803806044
9,9,12765.953363112176,276.73858857996987,17.371646039133246,12884.03553916331,-139.26182337341476,4.809429537885549,12916.302891118095,3547.530965366455,10.17194713959806,12936.45203459914,-1174.468306387307,13.81722839378008,13146.835512095537,536.9661478759989,40.143979044338515,0.987055331630969,127.0,95.0,78.0,234.0,312.0,32.0,839.0,844.0,45.0,21.0,24.0,0.4666666666666667,16.383644906942134,313.9611558775701,9.0,5.0,4.0,0.5555555555555556,43.26628144391304,333.25094590068215,22.0,13.0,9.0,0.5909090909090909,168.22274195207572,2732.0503009128797,24.0,3.0,21.0,0.125,127.6299812027492,2547.0678703679932,96.0,51.0,45.0,0.53125,14.898719232323854,555.541259611122,,,,,12752.0,12784.0,12879.0,12888.0,12903.0,12925.0,12933.0,12957.0,13103.0,13191.0,0.05920260340638295,-0.3106830026769032,0.04741966838186529,-0.10867043453504686,0.027746105208413252
