Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.61279229393685,554.8165121751493,795.2890150440055,176.0,,,,,,,,,,,,,,,
1,1,2247.296459627191,1362.0324659989708,13.11236477118048,2391.3988595609826,-5493.048089143424,17.8357578060484,2422.295864158216,48017.88946585441,10.389031085981022,2445.602712798848,-15055.741500681806,12.402116106635797,2710.3293070841505,12381.831984661549,38.04928516110177,0.9576298268383951,149.0,112.0,84.0,298.0,382.0,37.0,,,39.0,20.0,19.0,0.5128205128205128,35.42105044752729,1208.7718486473632,22.0,14.0,8.0,0.6363636363636364,618.3233145722085,967.216271050512,23.0,12.0,11.0,0.5217391304347826,2291.5991941628204,40259.26406934366,21.0,5.0,16.0,0.238095238095238,1545.420943543632,28525.799238274827,97.0,47.0,50.0,0.4845360824742268,50.825859227856746,12447.41251560695,,,,,2228.0,2265.0,2377.0,2399.0,2410.0,2433.0,2441.0,2461.0,2663.0,2759.0,0.026006025063101585,-0.11256470078867063,0.047723863327903654,-0.10264661780182974,0.0041048739226004
2,2,3345.2934602188234,826.0746848563128,10.485707337617658,3488.602712798848,-5448.142400203553,20.383723206912453,3523.524924562197,48575.28857253534,10.242668825933054,3546.0273736989925,-14780.44541832885,13.340642661037418,3814.166084244295,11766.48334275954,36.77841911594088,0.956679222330962,144.0,113.0,89.0,299.0,388.0,31.0,1097.0,1101.0,33.0,17.0,16.0,0.5151515151515151,38.08732230412439,700.3179482575213,37.0,26.0,11.0,0.7027027027027027,399.1450003369931,2366.966205516971,23.0,13.0,10.0,0.5652173913043478,2299.112967518607,36818.66172349476,21.0,4.0,17.0,0.1904761904761904,1623.1272539426757,29450.232838616917,95.0,47.0,48.0,0.4947368421052631,50.58487096621011,11710.133749123634,,,,,3329.0,3360.0,3473.0,3500.0,3511.0,3534.0,3542.0,3562.0,3768.0,3861.0,0.04610639086555387,-0.07326258585349757,0.04733091732611002,-0.10981585520622249,0.0042990645116866896
3,3,4542.203965364766,2123.117790105453,17.456689140316424,4692.316311916461,-5280.708067349812,17.8357578060484,4723.670722217341,46657.58937221145,10.368856437126771,4747.027373698993,-15129.377527653063,10.970520891341916,5015.459131510903,11938.096213518036,40.19755226683963,0.9601886534264412,158.0,116.0,83.0,304.0,387.0,42.0,1196.0,1200.0,44.0,23.0,21.0,0.5227272727272727,47.833916185881215,2032.6759677648135,22.0,14.0,8.0,0.6363636363636364,570.5216759625392,588.93451574039,23.0,13.0,10.0,0.5652173913043478,2296.932212645859,38373.346747961165,20.0,5.0,15.0,0.25,1603.025292625404,28555.74784813267,99.0,48.0,51.0,0.4848484848484848,56.17771205220967,12362.607252036025,,,,,4520.0,4562.0,4678.0,4700.0,4711.0,4734.0,4743.0,4761.0,4967.0,5065.0,0.02253003408892606,-0.10803885931320996,0.04922955179535866,-0.10595447761782917,0.004705751323112738
4,4,5752.435123149059,2025.6404408370472,15.72632624058923,5901.602712808821,-4838.327205207984,20.383723206912453,5936.638339353601,46891.90602947178,10.308673510513932,5959.602712798849,-15801.225055681423,11.43407308125087,6228.554895013316,11665.038299136377,39.37014953298017,0.9571108746828068,160.0,118.0,84.0,304.0,388.0,42.0,1211.0,1213.0,43.0,22.0,21.0,0.5116279069767442,38.87227367887315,1804.618586184862,77.0,66.0,11.0,0.8571428571428571,375.2107980543379,1749.9416244270672,23.0,13.0,10.0,0.5652173913043478,2294.2325139242193,37058.99631924597,20.0,5.0,15.0,0.25,1606.6331884016552,29026.950103787654,99.0,49.0,50.0,0.494949494949495,56.69215320724791,11931.154439618227,,,,,5730.0,5772.0,5890.0,5913.0,5924.0,5947.0,5955.0,5974.0,6180.0,6278.0,0.019190115331035807,-0.07754969478923632,0.048925981223332735,-0.10167776123307481,0.004860005749954985
5,5,6954.939957750721,2313.737441642239,16.450837105663005,7108.972625761214,-5021.282460408051,17.835757803137717,7136.663504378533,44993.698154446465,10.420233092887784,7161.188513816474,-15718.135579405343,10.171182246590911,7427.898729614857,12079.58016820504,41.84826980658997,0.9613478876165754,159.0,117.0,82.0,305.0,387.0,42.0,1201.0,1201.0,42.0,21.0,21.0,0.5,43.56917939435064,2185.072504419325,22.0,17.0,5.0,0.7727272727272727,843.5570443028403,6064.490670837881,24.0,13.0,11.0,0.5416666666666666,2224.0185646893156,37905.62558413505,19.0,5.0,14.0,0.2631578947368421,1560.4512035468815,27971.095614015227,103.0,51.0,52.0,0.4951456310679611,55.6363813334078,12457.300793750905,,,,,6934.0,6976.0,7093.0,7113.0,7124.0,7148.0,7156.0,7175.0,7378.0,7480.0,0.018830649757487702,-0.16799633379602574,0.049429556936064586,-0.09927711818388052,0.004605820778428184
6,6,8104.133070384176,1464.0850713291986,12.185893063789008,8251.027373699608,-5070.2488134193045,17.8357578060484,8283.609145356335,43603.60354170837,10.155406502212664,8308.952380627006,-16010.7872175654,10.268669928619852,8572.616945854155,11825.724158919187,41.50880084585075,0.9496369020026552,148.0,115.0,87.0,303.0,390.0,33.0,1149.0,1146.0,33.0,17.0,16.0,0.5151515151515151,43.72689817467135,1347.9171604964863,28.0,18.0,10.0,0.6428571428571429,450.4217324525429,708.948224046251,23.0,13.0,10.0,0.5652173913043478,2203.877382464273,36825.97620809116,19.0,6.0,13.0,0.3157894736842105,1474.562127474864,27107.539939149818,104.0,51.0,53.0,0.4903846153846153,55.08212022777104,12117.996250280772,,,,,8087.0,8120.0,8235.0,8261.0,8271.0,8294.0,8303.0,8322.0,8523.0,8625.0,0.02986636434655605,-0.08883621870004144,0.05054346896710469,-0.09209804036725472,0.004657822175416383
7,7,9239.795263672922,2568.7683576682425,19.12554409503387,9390.972626301009,-5173.947493223862,17.83575780604812,9417.951795049246,44544.12678664037,10.332271868329022,9443.492229003105,-16546.3347865228,10.15471609922294,9706.5823756042,12757.1572860243,43.95704802157894,0.9622656908320129,158.0,113.0,82.0,305.0,387.0,45.0,1136.0,1135.0,46.0,24.0,22.0,0.5217391304347826,53.71267459633375,2517.038168594099,22.0,18.0,4.0,0.8181818181818182,897.2917715281266,6662.872724011173,23.0,12.0,11.0,0.5217391304347826,2213.803075911528,38691.360661348706,20.0,6.0,14.0,0.3,1544.0168566044542,28426.22055012355,110.0,54.0,56.0,0.4909090909090909,58.38491569783928,13064.131835635468,,,,,9217.0,9262.0,9375.0,9395.0,9406.0,9429.0,9437.0,9457.0,9655.0,9762.0,0.020909894205132045,-0.17342498599053782,0.04969910144417714,-0.09331473565143114,0.004576639951112073
8,8,10333.90992725508,2112.554224597739,15.409969879433651,10481.653461061062,-6091.2146400095135,15.287792405184335,10509.525227119851,47147.9323995557,10.70255938507956,10533.60271279885,-17529.835107168547,12.590412162410887,10796.061346614368,13268.350030888105,42.34650248631826,0.9610548851386024,151.0,110.0,86.0,299.0,385.0,41.0,1092.0,1091.0,41.0,21.0,20.0,0.5121951219512195,52.94116627638761,2000.688119888655,24.0,19.0,5.0,0.7916666666666666,936.6724151663368,6659.471144743018,23.0,13.0,10.0,0.5652173913043478,2272.478992689257,36613.9587786472,22.0,6.0,16.0,0.2727272727272727,1535.2172657490014,29804.006241167728,104.0,51.0,53.0,0.4903846153846153,50.99762859321951,13495.72375587152,,,,,10313.0,10354.0,10464.0,10486.0,10497.0,10520.0,10529.0,10550.0,10745.0,10849.0,0.025060263854987382,-0.1537743242561017,0.04819891089668806,-0.08757739341890322,0.003843554660112176
9,9,11395.535122555417,1353.4748091174124,13.774235446648415,11534.6027127997,-4763.385176828177,20.383723206912453,11569.662596090986,47504.23103976875,10.295571635237511,11593.60271279885,-15165.53322778799,11.993739269377594,11857.4854434241,12042.198389008256,38.1704051156716,0.960729248949048,149.0,112.0,83.0,299.0,382.0,37.0,1065.0,1060.0,38.0,21.0,17.0,0.5526315789473685,38.31267645896848,1247.3340522172566,96.0,85.0,11.0,0.8854166666666666,382.1950611829018,1673.359938074545,23.0,13.0,10.0,0.5652173913043478,2287.3356951962614,38208.351926633026,20.0,5.0,15.0,0.25,1518.877064703848,28099.29986860722,98.0,48.0,50.0,0.4897959183673469,49.94785400675428,11978.22223418708,,,,,11376.0,11413.0,11525.0,11546.0,11557.0,11580.0,11589.0,11608.0,11809.0,11907.0,0.02830690028427777,-0.08023601850258019,0.04815014673706412,-0.10015322520416171,0.004147735520811975
