Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.97576294869766,254.008820085927,363.20419854555234,1247.0,,,,,,,,,,,,,,,
1,1,1956.12330450072,3342.956600816326,6.407700936008498,2081.2739827004316,-5658.688599578333,7.643896202592166,2104.183222485577,46204.05645951842,9.879253711697183,2164.110465597976,-1082.2470269354285,9.736142123234371,2366.681008302105,10102.728096397848,37.015482395410665,0.9789493717022932,124.0,106.0,96.0,243.0,339.0,18.0,,,18.0,7.0,11.0,0.3888888888888889,233.2088803875357,4784.004646056056,10.0,8.0,2.0,0.8,1322.068362066375,13383.7701946018,21.0,10.0,11.0,0.4761904761904761,2272.7608558409675,50728.04061386085,17.0,11.0,6.0,0.6470588235294118,131.32159975464634,1233.8221978896445,94.0,47.0,47.0,0.5,120.61083704041516,9948.212221704687,0.0,0.0,0.0,0.0,1949.0,1967.0,2073.0,2083.0,2094.0,2115.0,2154.0,2169.0,2322.0,2412.0,0.0697612647231459,-0.23363511506268272,0.04918963896237643,-0.12134161285386608,0.011938442358299165
2,2,2878.9726263010075,4119.653705285584,9.662332078267283,3003.2739827004316,-5486.269139629725,7.601348912062669,3025.785185604769,44704.431587408304,9.63707808059896,3089.12330450072,-1114.2967100373892,12.65944294682828,3286.1782970528325,11196.415271958933,37.33378070292124,0.9765616036790916,125.0,107.0,98.0,240.0,338.0,18.0,922.0,921.0,28.0,10.0,18.0,0.3571428571428571,268.8007470762075,5117.444267944066,11.0,9.0,2.0,0.8181818181818182,1241.4744582077174,13235.174229113712,21.0,10.0,11.0,0.4761904761904761,2320.6536963576136,47777.40459300888,35.0,12.0,23.0,0.3428571428571428,117.74673535119364,1140.185271990002,94.0,47.0,47.0,0.5,127.43613234582875,11663.08604938446,0.0,0.0,0.0,0.0,2869.0,2887.0,2994.0,3005.0,3016.0,3036.0,3077.0,3092.0,3242.0,3332.0,0.0652483840404672,-0.2262875602000645,0.05191104358010139,-0.10566910436919692,0.011381869040262244
3,3,3775.972626301007,3625.9108988911257,8.417546392914621,3899.12330450072,-5232.464533502788,9.995127027146394,3924.149920646301,46861.3144558985,9.460723315675647,3992.36991350216,-1559.8015871167108,17.650162317368014,4186.2601729956805,9870.586993015024,35.21432295516299,0.9776954377115288,126.0,106.0,119.0,218.0,337.0,20.0,897.0,899.0,25.0,10.0,15.0,0.4,236.8826475127572,4144.032210508146,12.0,7.0,5.0,0.5833333333333334,1015.52104493649,8306.291478629231,21.0,10.0,11.0,0.4761904761904761,2354.534074106138,51015.93564178431,69.0,30.0,39.0,0.4347826086956521,111.38347339832043,873.4611164420157,89.0,44.0,45.0,0.4943820224719101,101.2049193750354,9930.753625591444,0.0,0.0,0.0,0.0,3766.0,3786.0,3892.0,3904.0,3914.0,3935.0,3971.0,4011.0,4143.0,4229.0,0.06533052083138627,-0.19408082719610253,0.050244729612141076,-0.07140874475208894,0.010253181441656269
4,4,4914.942874119937,4520.752002640422,14.057429923623037,5042.698643600575,-6858.536870924496,8.554188280114545,5064.317404358118,45151.17056830415,9.614619049101677,5129.2466090014395,-2246.0108945066327,19.65432568791573,5332.697395089314,10191.805184504845,35.66331321890849,0.9799117006517208,140.0,98.0,117.0,226.0,343.0,42.0,1141.0,1140.0,42.0,22.0,20.0,0.5238095238095238,101.64592871414608,4125.838913876336,15.0,13.0,2.0,0.8666666666666667,1484.4935317044171,15742.809747544334,21.0,10.0,11.0,0.4761904761904761,2291.188940490762,49440.57233041118,68.0,19.0,49.0,0.2794117647058823,144.0564934155688,2476.006992431714,89.0,45.0,44.0,0.5056179775280899,153.64183491598973,10713.945834531298,0.0,0.0,0.0,0.0,4893.0,4935.0,5033.0,5045.0,5054.0,5075.0,5115.0,5150.0,5291.0,5376.0,0.02248429656277939,-0.21644463821396864,0.05074484031426558,-0.064138822197126,0.01507503647632313
5,5,6032.057180731598,5010.785241346186,15.356164528624245,6153.123304500719,-5288.6419035110985,8.355695765078671,6177.372033422516,46304.94014305667,9.675637171321403,6237.123304500719,-1184.592879106696,8.360974874989669,6442.088047943627,9909.640684648864,38.43729159467768,0.9798274701491956,135.0,93.0,121.0,224.0,345.0,42.0,1112.0,1113.0,44.0,23.0,21.0,0.5227272727272727,96.45776588079524,4294.582126637403,11.0,8.0,3.0,0.7272727272727273,1107.34623401246,10562.442342878176,21.0,10.0,11.0,0.4761904761904761,2308.2443153691565,50881.88991416029,36.0,7.0,29.0,0.1944444444444444,114.93185538255156,1575.5238394686207,95.0,47.0,48.0,0.4947368421052631,124.53286640588809,10525.875141976278,0.0,0.0,0.0,0.0,6010.0,6052.0,6145.0,6156.0,6167.0,6188.0,6230.0,6266.0,6396.0,6490.0,0.019250029932410578,-0.20938196501398576,0.049848770093168404,-0.09702224064458492,0.012566839744129506
6,6,7112.671269901583,4738.326585617313,15.406198782077473,7235.273982700431,-5763.147960586653,7.039563101237068,7257.80129748228,44820.5959013332,10.044312892277638,7336.397287201151,-774.0428471672748,16.13377260982468,7521.3754383696705,10124.82004457268,37.65882188081012,0.9801026671455764,130.0,92.0,117.0,225.0,342.0,38.0,1082.0,1081.0,40.0,17.0,23.0,0.425,173.3311071463427,4841.208616310247,10.0,8.0,2.0,0.8,1355.623303811217,13946.798010252198,22.0,11.0,11.0,0.5,2185.0259264647134,48821.93848118838,40.0,12.0,28.0,0.3,91.50627862747164,645.2388453723531,93.0,45.0,48.0,0.4838709677419355,106.8389126937036,10301.739727260454,0.0,0.0,0.0,0.0,7097.0,7135.0,7227.0,7237.0,7247.0,7269.0,7325.0,7344.0,7477.0,7569.0,0.03658065859632193,-0.23522271388521193,0.04875048808531613,-0.1182186218273995,0.010552178924994687
7,7,8054.397287201151,3096.439222386073,9.41080430714016,8175.9726263008915,-5078.371825188189,17.835757799245776,8199.812171444899,45980.31160831646,9.043444742620126,8271.191861603438,-2649.6914591490195,24.20379671476064,8463.893875716578,9952.118265208464,32.629719990990026,0.9604606755167708,123.0,98.0,140.0,200.0,340.0,25.0,943.0,941.0,29.0,11.0,18.0,0.3793103448275862,147.51701706753315,2662.998503094263,15.0,11.0,4.0,0.7333333333333333,1048.8012697972977,8644.689656281485,21.0,10.0,11.0,0.4761904761904761,2365.23734346734,46669.50079043953,84.0,35.0,49.0,0.4166666666666667,132.9698395904825,1692.837447719489,85.0,41.0,44.0,0.4823529411764706,150.23392984357898,9971.081083262869,0.0,0.0,0.0,0.0,8043.0,8068.0,8166.0,8180.0,8190.0,8210.0,8237.0,8306.0,8424.0,8506.0,0.04764085663333594,-0.20652313495348132,0.05144021997100906,-0.05018314080734041,0.015095673688764395
8,8,8975.52059170187,4369.719074672622,13.775552232664234,9099.27398270043,-5821.511308797888,7.472433635230382,9121.883012668608,46501.79853889517,9.810979818516495,9184.821948101297,-1422.069149907581,15.490823417054957,9385.672731931822,10317.473935445474,36.578288976289834,0.9823168374698422,133.0,95.0,100.0,241.0,341.0,38.0,919.0,923.0,40.0,20.0,20.0,0.5,163.92672132149363,4250.4070590513775,11.0,9.0,2.0,0.8181818181818182,1321.420747212809,14307.290896208602,22.0,11.0,11.0,0.5,2264.1213978858887,50583.328059569234,70.0,21.0,49.0,0.3,122.07127584720838,1412.9447973953493,90.0,44.0,46.0,0.4888888888888889,131.19880096053257,10594.937594938048,0.0,0.0,0.0,0.0,8957.0,8995.0,9090.0,9101.0,9111.0,9133.0,9170.0,9190.0,9342.0,9431.0,0.037514247145000956,-0.2269892948959461,0.04868889954852231,-0.08584060476604931,0.012716174693672035
9,9,9926.24660900144,3698.2180631489,12.170277267918944,10052.27398270043,-6913.118210938142,7.64389620259217,10073.681111531743,43628.8638867026,9.51991061249484,10136.945252602014,-2371.6690714481956,23.96322125589079,10338.426640577887,10627.536520885404,32.73862541635603,0.974349812157959,129.0,94.0,121.0,218.0,339.0,35.0,952.0,951.0,35.0,14.0,21.0,0.4,145.1009648392589,3938.72848953853,28.0,26.0,2.0,0.9285714285714286,1335.0884054251296,14189.164137501635,21.0,10.0,11.0,0.4761904761904761,2313.41630428908,46714.31473792263,88.0,28.0,60.0,0.3181818181818182,147.14935370495934,2329.9366180965117,86.0,42.0,44.0,0.4883720930232558,129.51079484114095,10580.115485985754,0.0,0.0,0.0,0.0,9912.0,9947.0,10041.0,10054.0,10064.0,10084.0,10117.0,10162.0,10299.0,10380.0,0.03923537291787241,-0.19312390800908236,0.05302490365774052,-0.06204463998643224,0.012186342016950426
