Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.03201771387372,309.1578249838035,440.0915251946032,247.0,,,,,,,,,,,,,,,
1,1,2223.87669549928,2120.73028017632,12.739827004320285,2319.2225116733757,-1207.4608857735589,0.9962754469529258,2360.4650851660126,33503.08830604126,9.492434110830168,2374.4520345991364,-27456.868408808703,9.418822504956813,2622.182635728243,13014.618627954404,36.73853978192614,0.8938672355046731,96.0,86.0,71.0,275.0,346.0,10.0,,,16.0,4.0,12.0,0.25,375.290879177176,1275.6094622820538,4.0,2.0,2.0,0.5,255.68783121470875,825.0703394493335,18.0,12.0,6.0,0.6666666666666666,2137.5706761626,13103.56782859224,22.0,4.0,18.0,0.1818181818181818,2029.5051366596808,33345.042930020136,82.0,38.0,44.0,0.4634146341463415,261.0560200397088,14288.878189595,,,,,2221.0,2231.0,2317.0,2321.0,2349.0,2366.0,2371.0,2388.0,2585.0,2663.0,0.17696304083797676,-0.2117566160753129,0.06380219807309986,-0.07391611841678841,0.020058676132005935
2,2,3194.8493218002877,1524.4821711394204,1.956526369990716,3289.557497038491,-3069.8125479878245,5.850334553768544,3326.3181165394412,36307.387168782814,8.512241518058126,3339.4520345991364,-27197.52372232917,10.904946536971307,3588.6417778325213,12030.048112611044,32.10262236150296,0.8752305685721197,91.0,85.0,71.0,276.0,347.0,6.0,968.0,966.0,6.0,3.0,3.0,0.5,312.2638511559706,950.0764065978616,13.0,7.0,6.0,0.5384615384615384,394.41968452379734,1330.082000974498,18.0,12.0,6.0,0.6666666666666666,2119.419423261003,11183.90271189003,24.0,4.0,20.0,0.1666666666666666,2037.644022991719,33110.90678299021,85.0,43.0,42.0,0.5058823529411764,298.71318831636904,12358.351618362933,,,,,3192.0,3198.0,3283.0,3296.0,3314.0,3331.0,3336.0,3354.0,3551.0,3630.0,0.2048327340703368,-0.12848331237108543,0.05837433063988932,-0.07492020390513762,0.024830589663496806
3,3,4012.9005047344313,2479.529291115231,1.6720692718083352,4264.370290588888,-1923.9531934601323,5.075662206030519,4302.894707051202,40480.384748643795,9.36186271088524,4314.876695499281,-32683.296532865705,10.342303584536216,4563.066977951172,12525.240828054548,35.345700240565435,0.8890059904369843,245.0,239.0,76.0,274.0,350.0,6.0,819.0,976.0,6.0,3.0,3.0,0.5,327.70153919764914,2268.3628637700463,17.0,9.0,8.0,0.5294117647058824,406.9480134277558,590.4741071986919,16.0,12.0,4.0,0.75,2302.3009093704295,13605.432150993209,22.0,4.0,18.0,0.1818181818181818,2147.584718646145,35068.10589195421,89.0,45.0,44.0,0.5056179775280899,319.4786504798183,11978.061643079682,,,,,4010.0,4016.0,4255.0,4272.0,4291.0,4307.0,4312.0,4331.0,4521.0,4605.0,0.13216280217857684,-0.21151658720755073,0.05687448189206164,-0.06570893840180946,0.025506787044304726
4,4,5152.698643600575,1788.9678915999746,10.191861603456228,5286.726017299569,-2225.0984818868487,4.659086826401773,5317.6642699130925,36889.65221041383,8.636654711929475,5331.602712798849,-25562.918671086765,11.5425936041104,5581.10408171634,12131.146541834834,33.59828587366308,0.8898737249005303,128.0,116.0,79.0,272.0,351.0,12.0,1138.0,1016.0,14.0,12.0,2.0,0.8571428571428571,246.26934030577223,1569.0658238606334,37.0,33.0,4.0,0.8918918918918919,503.3929308438729,3168.1887825298627,17.0,12.0,5.0,0.7058823529411765,2112.1555967235768,13319.833622126036,25.0,5.0,20.0,0.2,1882.8990344703168,35356.436160662466,89.0,44.0,45.0,0.4943820224719101,292.72201056614443,11993.0763147301,,,,,5143.0,5155.0,5271.0,5291.0,5306.0,5323.0,5327.0,5350.0,5543.0,5622.0,0.13766001137422298,-0.22623400040118832,0.057256045263753455,-0.07365743554940742,0.024129789344863546
5,5,6110.233966909564,1403.5815450254015,1.1233432910929917,6244.726017299569,-3363.6108910183143,7.64389620259217,6282.813788134045,37006.663288103045,7.97464817147779,6296.452034599137,-24076.153990880262,11.537056151586947,6545.153564973504,11748.587080974488,32.19922491314973,0.879684707112923,122.0,118.0,85.0,271.0,356.0,4.0,959.0,965.0,4.0,2.0,2.0,0.5,305.29089124341596,2215.015055029221,19.0,15.0,4.0,0.7894736842105263,304.40198879292114,2257.431766812439,15.0,10.0,5.0,0.6666666666666666,2199.956045703325,13460.931849935248,24.0,4.0,20.0,0.1666666666666666,1982.2474345446972,32507.39909859367,97.0,51.0,46.0,0.5257731958762887,337.03705700718734,9157.340316451524,,,,,6108.0,6112.0,6230.0,6249.0,6273.0,6288.0,6293.0,6315.0,6514.0,6586.0,0.21750848201547912,-0.09049857390037322,0.05944756566071089,-0.08233239558509,0.0286874544729707
6,6,7089.304198243604,2199.545725963541,2.694302437855411,7211.301356399772,-2498.2525163082296,5.830087208660125,7244.8267407857475,36175.06925998586,7.982745731005773,7258.45203459924,-23830.927835280923,11.351098385210136,7508.0248997410945,12671.714744176432,33.285505844784964,0.8877402408268661,123.0,117.0,65.0,276.0,341.0,6.0,979.0,962.0,6.0,3.0,3.0,0.5,334.42821844196294,2997.800515569992,21.0,12.0,9.0,0.5714285714285714,491.10701303814307,908.9206528507392,17.0,11.0,6.0,0.6470588235294118,2101.111387937153,12698.107729590438,26.0,5.0,21.0,0.1923076923076923,1956.340875051314,31777.907576438927,77.0,35.0,42.0,0.4545454545454545,352.5763272365373,13778.085614673795,,,,,7086.0,7092.0,7209.0,7219.0,7234.0,7250.0,7255.0,7274.0,7473.0,7550.0,0.15204422190198483,-0.19658021350214513,0.05808175162946389,-0.08209251811652143,0.02782388448245109
7,7,8056.302489693126,3247.005025739155,1.896833792361485,8151.417741619139,-1956.7517919808704,1.4233298214130117,8188.336727574809,36963.60532728388,9.089559236928638,8201.452034599139,-28618.67742331163,10.158671327532511,8448.968869992315,12993.13060544129,35.67292196051043,0.8912581017452252,96.0,90.0,68.0,274.0,342.0,6.0,967.0,943.0,6.0,3.0,3.0,0.5,493.2511548478744,1444.0185657002366,5.0,2.0,3.0,0.4,399.5065260245452,743.9596617130147,17.0,12.0,5.0,0.7058823529411765,2237.359785674279,13968.54820937258,22.0,4.0,18.0,0.1818181818181818,2031.959722132366,34133.34580272127,79.0,37.0,42.0,0.4683544303797468,260.61400344893457,13361.778886399235,,,,,8053.0,8059.0,8149.0,8154.0,8176.0,8193.0,8198.0,8217.0,8412.0,8491.0,0.15190957542037978,-0.2041682177891936,0.06052872185665342,-0.07100117493470236,0.020057829892034956
8,8,9052.958381807955,1743.933602386165,1.3437711836006072,9143.630086497842,-2077.5564265618336,32.79544361390101,9193.768409386445,38301.430848788725,8.837327097246789,9207.45203459914,-25957.484003178488,12.167287734777329,9457.720147883723,11623.771948461364,32.31275208708074,0.8802458156686768,77.0,73.0,98.0,272.0,370.0,4.0,997.0,1006.0,4.0,2.0,2.0,0.5,365.9075849963635,1444.3198013988836,39.0,17.0,22.0,0.4358974358974359,265.04860221955056,2831.8318693376314,17.0,11.0,6.0,0.6470588235294118,2111.9146564444445,12359.628654893726,29.0,5.0,24.0,0.1724137931034483,1912.1545919448895,32982.85101621684,78.0,35.0,43.0,0.4487179487179487,324.33821009257855,12370.436121961007,,,,,9051.0,9055.0,9128.0,9165.0,9183.0,9200.0,9204.0,9226.0,9424.0,9498.0,0.2098173832396512,-0.12757708952251268,0.05513931489353833,-0.07366486642968735,0.02790300872476349
9,9,10004.652684417782,3761.400068699131,3.5893975338155473,10122.84906278819,-1598.0540869811423,3.568415327035855,10155.11284761658,34620.60123877762,11.206886604126344,10166.45203459914,-35944.641751284034,8.881969446654214,10412.856451669391,13138.824615913967,36.92817885286989,0.8856223315197175,115.0,108.0,63.0,276.0,339.0,7.0,952.0,958.0,7.0,4.0,3.0,0.5714285714285714,419.2291462125229,4292.096717275445,11.0,7.0,4.0,0.6363636363636364,530.7715422638635,4972.4340514234345,19.0,16.0,3.0,0.8421052631578947,2085.274315596679,10070.562538888047,21.0,4.0,17.0,0.1904761904761904,1975.1733537302111,31599.980626917037,88.0,44.0,44.0,0.5,275.32158981556364,12233.586313390246,,,,,10001.0,10008.0,10116.0,10124.0,10142.0,10158.0,10163.0,10179.0,10369.0,10455.0,0.11145561188802552,-0.3321361564592193,0.06023218086868516,-0.05495042536234633,0.020954811245603312
