Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.36486505049363,73.73260547579201,93.17601175176269,161.0,,,,,,,,,,,,,,,
1,1,1486.1267401077705,882.0069660789645,12.739827004320285,1568.972626301008,-1066.4863656780672,17.35625140945222,1599.3447360027349,9376.823836374924,11.89822086012687,1670.424660900144,-440.1075051792261,2.5479654008640567,1893.2403581218673,2932.407740270512,35.50574973563306,0.9576440515828338,77.0,51.0,115.0,263.0,378.0,26.0,,,26.0,6.0,20.0,0.2307692307692307,104.43320364176292,1011.8824418244492,17.0,13.0,4.0,0.7647058823529411,203.90799400757575,950.1785721534856,24.0,12.0,12.0,0.5,431.9330703679976,9864.043536163255,3.0,1.0,2.0,0.3333333333333333,102.25999318187722,716.3588899751187,83.0,41.0,42.0,0.4939759036144578,117.8381333554034,3369.6975148082565,,,,,1480.0,1506.0,1557.0,1573.0,1587.0,1611.0,1669.0,1672.0,1854.0,1935.0,0.11840405763009948,-0.19119606266877306,0.04606389945094486,-0.23235230478569918,0.04018477094339307
2,2,2417.1780518987043,644.7299401870424,19.474065491572706,2494.397287201152,-1170.4108611302038,19.907670462753263,2525.0210003328543,9210.523472963032,12.040055061967044,2598.1506781997123,-889.2166713023327,5.095930801728113,2823.808138396544,2826.8819857975604,33.538581739410375,0.947532612523961,73.0,49.0,123.0,256.0,379.0,24.0,936.0,925.0,26.0,13.0,13.0,0.5,125.938926447511,684.7437367547597,24.0,17.0,7.0,0.7083333333333334,164.09164872810368,811.6986562362025,25.0,13.0,12.0,0.52,423.27916123109975,9322.184105022694,47.0,10.0,37.0,0.2127659574468085,144.8718460103241,846.7101273016622,91.0,52.0,39.0,0.5714285714285714,140.74292843719826,2673.811868832234,,,,,2406.0,2430.0,2479.0,2499.0,2513.0,2537.0,2597.0,2602.0,2783.0,2858.0,0.19533593617658718,-0.14020003930042912,0.045956037403694985,-0.16292074888581104,0.04978733783168166
3,3,3352.328730098416,725.0835199524962,18.100842129407816,3431.2739827004316,-1082.313526059584,7.64389620259217,3464.6088016272893,9092.885838340562,11.382972736154382,3558.8493218002877,-767.7996908285634,5.095930801728113,3759.471848963904,3070.2518620456426,34.199371739015135,0.9511388180565488,81.0,58.0,140.0,229.0,369.0,23.0,936.0,940.0,52.0,26.0,26.0,0.5,101.64682518563691,537.9942850185358,10.0,4.0,6.0,0.4,167.804179023258,149.17600809995173,24.0,13.0,11.0,0.5416666666666666,422.97320260121415,9103.23629335361,11.0,3.0,8.0,0.2727272727272727,137.38768546321654,483.5713322944898,85.0,41.0,44.0,0.4823529411764706,121.21550853570469,3142.784236507333,,,,,3346.0,3369.0,3427.0,3433.0,3452.0,3476.0,3556.0,3567.0,3722.0,3796.0,0.14018636803701773,-0.15504211578523686,0.046516937540085304,-0.17893688562827628,0.03948064001985212
4,4,4233.7260173084605,797.799347631002,7.64389620259217,4309.927951707566,-1098.380856009501,17.8357578060484,4338.861454370385,9092.842093440431,11.2904655451699,4410.726017299569,-889.0950023439832,7.64389620259217,4633.894504200649,2915.9350062108933,34.18612459379093,0.9499241206880502,57.0,46.0,132.0,255.0,387.0,11.0,878.0,875.0,11.0,2.0,9.0,0.1818181818181818,111.17946064246112,804.4754011319006,25.0,21.0,4.0,0.84,211.9027514554145,1060.9202474728015,24.0,12.0,12.0,0.5,424.7039767644846,9031.078582540082,24.0,14.0,10.0,0.5833333333333334,93.84410699833028,862.1926586606535,86.0,43.0,43.0,0.5,76.72003337985781,3036.1599047724835,,,,,4232.0,4243.0,4289.0,4314.0,4327.0,4351.0,4409.0,4421.0,4598.0,4676.0,0.13935767304473132,-0.19292283755315334,0.046707506014083945,-0.10555014565476412,0.0263106115933467
5,5,5145.150678199713,889.451351781709,5.095930801728113,5219.821948101295,-1084.0322342205682,15.821705801933833,5251.843904567135,9198.900853860638,12.34512969521071,5318.849321800287,-577.6238660575032,5.095930801728097,5545.622816054531,3093.423664016071,35.865761511148264,0.9548270455780364,62.0,56.0,114.0,265.0,379.0,6.0,911.0,912.0,26.0,14.0,12.0,0.5384615384615384,108.15040667150494,466.75595706300624,20.0,14.0,6.0,0.7,167.2580624206661,800.1625337185122,25.0,13.0,12.0,0.52,419.27913750412847,9542.453366130105,6.0,4.0,2.0,0.6666666666666666,130.4890716830276,533.8614067092416,83.0,40.0,43.0,0.4819277108433735,101.71928336168438,3235.3648133919905,,,,,5144.0,5150.0,5206.0,5225.0,5239.0,5264.0,5316.0,5320.0,5509.0,5585.0,0.12159226747462118,-0.15429251745537495,0.045579264758372026,-0.22590664851448025,0.03288242879400043
6,6,6049.698643600575,1148.9945039334075,10.191861603456228,6132.273982700431,-843.3910765307808,7.64389620259217,6166.052810009875,9311.041313236878,12.397360698361773,6269.654729096107,-519.7496934000503,0.6723391394682485,6464.808138396545,3428.6590932309405,38.31691090319713,0.9472575021140908,84.0,57.0,143.0,228.0,371.0,27.0,902.0,914.0,48.0,24.0,24.0,0.5,115.64344962003094,914.5668154909832,6.0,4.0,2.0,0.6666666666666666,171.92658073961374,774.8231061030683,26.0,14.0,12.0,0.5384615384615384,417.71966552520456,9390.201365425708,3.0,2.0,1.0,0.6666666666666666,127.14025729806563,569.6150421897136,95.0,60.0,35.0,0.631578947368421,97.4384553059186,3339.1274064770846,,,,,6044.0,6071.0,6128.0,6134.0,6152.0,6178.0,6268.0,6271.0,6406.0,6499.0,0.10064752200653983,-0.20385155300293128,0.04486283021119891,-0.2446182439596093,0.028418822827351746
7,7,6926.547965400863,737.7311059352348,15.28779240471636,6987.397287201151,-804.3628549730231,15.742332179601204,7038.910192810822,8884.977341163916,10.378253332474587,7098.273982700431,-857.2125359171472,7.64389620259217,7334.78550485429,2724.111484205207,31.281011843584444,0.949370702119682,57.0,38.0,133.0,265.0,398.0,19.0,876.0,875.0,27.0,10.0,17.0,0.3703703703703703,104.6447026124433,986.6933801539196,38.0,14.0,24.0,0.3684210526315789,76.95316656253206,982.942474746408,24.0,13.0,11.0,0.5416666666666666,411.490139669679,8859.538709788889,55.0,6.0,49.0,0.109090909090909,120.46206510832846,806.5370992142068,83.0,42.0,41.0,0.5060240963855421,110.7010906591403,2470.1644588954723,,,,,6918.0,6937.0,6975.0,6992.0,7026.0,7050.0,7094.0,7108.0,7299.0,7373.0,0.14184667254850716,-0.09566971682837459,0.046313020716806305,-0.14052765219939758,0.04063750375159066
8,8,7783.273982700431,1196.2078693939825,7.64389620259217,7870.273982700431,-937.7722623513428,7.64389620259217,7900.698342807478,9358.117741151538,12.352648217027596,7998.2778447059745,-304.33374557918023,1.0604261127667782,8191.413274399727,3064.910305506421,38.35221294336926,0.9524262548957452,81.0,65.0,140.0,235.0,375.0,16.0,858.0,861.0,39.0,13.0,26.0,0.3333333333333333,131.72042414795928,996.718526871198,13.0,11.0,2.0,0.8461538461538461,177.34523512265113,1315.7517275650098,26.0,14.0,12.0,0.5384615384615384,414.7717252555027,9539.622440866531,4.0,2.0,2.0,0.5,108.37056604178213,367.89303810523415,84.0,40.0,44.0,0.4761904761904761,88.22413620505816,3395.589359742381,,,,,7779.0,7795.0,7860.0,7872.0,7887.0,7912.0,7996.0,8000.0,8152.0,8235.0,0.11011499549379399,-0.18911332979499829,0.04432213151492835,-0.35609119138444917,0.028785226127679687
9,9,8722.876695499283,870.6903025006432,12.739827004320285,8793.698643600574,-1274.554962616155,10.191861603456228,8824.187266918545,8982.75483202086,12.750571253498268,8885.637834853751,-443.9550598234597,5.095930801728113,9117.930326485804,2990.0147284916698,38.09224091316831,0.9624335143630338,82.0,55.0,103.0,273.0,376.0,27.0,943.0,923.0,48.0,41.0,7.0,0.8541666666666666,103.54337691871748,392.5783998454992,14.0,11.0,3.0,0.7857142857142857,185.6391341464525,1229.64120370394,25.0,13.0,12.0,0.52,401.935300464329,9772.30647207508,4.0,2.0,2.0,0.5,83.51556329081087,673.5806763949715,93.0,49.0,44.0,0.5268817204301075,124.82369617163036,2945.8212193095533,,,,,8703.0,8730.0,8785.0,8796.0,8811.0,8836.0,8884.0,8888.0,9078.0,9161.0,0.11892101775032805,-0.1456501599314392,0.044745215469039486,-0.18811715610138813,0.04174684993428056
