Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.37832880306195,358.9627927595492,587.1798301296362,352.0,,,,,,,,,,,,,,,
1,1,1299.1233045007198,752.7560389223797,12.739827004320285,1415.4567900937718,-4351.581732276912,5.361615206613308,1442.390888825142,42072.939531987,8.655240352042206,1465.1506781997125,-1779.3692807688246,4.485614440375059,1691.896938705421,4613.164161937376,33.56271701542159,0.9959966207906552,116.0,103.0,60.0,263.0,323.0,13.0,,,15.0,8.0,7.0,0.5333333333333333,78.16483167262234,1110.5815221893345,12.0,7.0,5.0,0.5833333333333334,809.3633692507212,4123.46828265495,21.0,10.0,11.0,0.4761904761904761,2301.6536229245203,42964.81227791974,4.0,1.0,3.0,0.25,1114.6036398973563,15240.903059446217,83.0,44.0,39.0,0.5301204819277109,35.27054272309021,4579.355014870656,0.0,0.0,0.0,0.0,1292.0,1305.0,1408.0,1420.0,1432.0,1453.0,1464.0,1468.0,1649.0,1731.0,0.103838199404578,-0.18599291454126768,0.05470627078896236,-0.6264037779812416,0.007645629222151451
2,2,1821.8493218002875,159.4751815484006,3.0129149974378517,2157.5867709492863,-5008.92710691383,6.451696010842755,2184.907502788439,40840.57927908447,8.630947235083982,2206.7260172995684,-3312.682635490985,5.558612032989438,2435.4020617162473,4317.2200525930275,26.6997105964948,0.9896155523445184,330.0,325.0,64.0,257.0,321.0,5.0,524.0,743.0,5.0,3.0,2.0,0.6,31.31841124440344,160.7742965162713,14.0,9.0,5.0,0.6428571428571429,835.9618736186749,3908.6558213544654,21.0,11.0,10.0,0.5238095238095238,2265.7033531818024,40216.6721212823,8.0,2.0,6.0,0.25,1186.4817243788575,17452.8748145216,72.0,36.0,36.0,0.5,50.846009180731095,4083.257127975408,0.0,0.0,0.0,0.0,1819.0,1824.0,2149.0,2163.0,2174.0,2195.0,2205.0,2213.0,2400.0,2470.0,0.1963842332099702,-0.16689439789706567,0.05547676828232768,-0.3581634146498929,0.011777488421094436
3,3,2765.606867346498,1049.9020306486595,21.361292493898716,2883.766041874992,-4202.27939151913,4.9325823400664035,2911.109233594482,43578.20777975703,8.572514128582911,2995.2739827004316,-510.4195685975487,4.239520003265231,3159.9271405158147,4489.471531352105,32.42822562028812,0.9946699275976424,120.0,102.0,128.0,192.0,320.0,18.0,944.0,726.0,18.0,10.0,8.0,0.5555555555555556,84.84706205196584,1456.906403719055,13.0,8.0,5.0,0.6153846153846154,841.3409476174942,4787.3030462607785,21.0,10.0,11.0,0.4761904761904761,2323.2337187504477,43423.99346494017,13.0,4.0,9.0,0.3076923076923077,66.30682919896704,754.9465489956101,76.0,39.0,37.0,0.5131578947368421,68.12256775392719,4304.587196061839,0.0,0.0,0.0,0.0,2756.0,2774.0,2876.0,2889.0,2901.0,2922.0,2991.0,3004.0,3122.0,3196.0,0.08081426606970642,-0.2002106164848188,0.05331182343459378,-0.1299065186335912,0.015173850035175645
4,4,3487.8219481012957,1159.7486746657305,22.93168860777651,3622.455326883167,-3986.019666992941,4.923809231321347,3649.6956493941993,43179.109295582704,8.537562957307335,3739.671269901584,-486.1457856233437,24.24811105812344,3896.9076888613617,5051.1074827650855,33.61143163611962,0.9895314898848936,140.0,119.0,131.0,188.0,319.0,21.0,719.0,739.0,38.0,14.0,24.0,0.3684210526315789,77.698734798565,1555.8568727849165,12.0,7.0,5.0,0.5833333333333334,773.1954310970928,4473.468403689598,21.0,11.0,10.0,0.5238095238095238,2296.002858067156,42104.69379002877,23.0,17.0,6.0,0.7391304347826086,39.80050583484898,619.2362534206472,82.0,43.0,39.0,0.524390243902439,51.09958499916232,5082.942328649963,0.0,0.0,0.0,0.0,3475.0,3496.0,3615.0,3627.0,3639.0,3660.0,3724.0,3746.0,3857.0,3934.0,0.06699618330752546,-0.19397682291928894,0.05317392821491204,-0.0818694865035519,0.010116511116328355
5,5,5661.671269901583,1698.168440674457,20.162785738776403,5788.863369955954,-4465.060874346758,5.145094467406456,5816.086891939047,42804.354111666915,8.479127464258799,5913.301356399425,-892.063520321559,10.191861603456228,6065.401073462583,4540.794801465681,32.23336924788974,0.9938504398410364,135.0,104.0,144.0,180.0,324.0,31.0,2173.0,2166.0,51.0,21.0,30.0,0.4117647058823529,105.46234220075304,1724.8761317212884,13.0,8.0,5.0,0.6153846153846154,827.3647887485625,4512.39568290823,21.0,10.0,11.0,0.4761904761904761,2308.5619117150827,42826.29317771388,28.0,16.0,12.0,0.5714285714285714,62.01683968877216,715.2744888570392,82.0,40.0,42.0,0.4878048780487805,56.429702696370015,4534.075814410029,0.0,0.0,0.0,0.0,5646.0,5677.0,5781.0,5794.0,5806.0,5827.0,5911.0,5925.0,6025.0,6105.0,0.06210358152626299,-0.18529753838341714,0.05393287574653188,-0.06952065438839733,0.012427274334915021
6,6,6365.86178824252,1497.00111138595,10.90589652896574,6493.3783393413,-4025.481213583752,5.249286508667221,6520.641620842424,42272.822341425075,8.515897991042765,6586.314920393665,-1611.3944218354025,112.1104776380185,6764.760395428948,4419.345687532503,30.28452584930425,0.9933017370715076,131.0,106.0,201.0,117.0,318.0,25.0,707.0,704.0,26.0,14.0,12.0,0.5384615384615384,93.61501461065431,1123.0612011861413,15.0,9.0,6.0,0.6,760.9633301863744,3002.31323280164,21.0,11.0,10.0,0.5238095238095238,2266.3746487125263,40154.903951167864,128.0,26.0,102.0,0.203125,49.62052669155314,1726.7230408873118,69.0,31.0,38.0,0.4492753623188406,60.8064706483885,4227.613515587655,0.0,0.0,0.0,0.0,6353.0,6378.0,6484.0,6499.0,6510.0,6531.0,6561.0,6685.0,6735.0,6802.0,0.0625350334736785,-0.18903661197537028,0.05361304316063141,-0.03079353261942822,0.013759156886036489
7,7,7068.182486664896,2561.43811719051,30.57558481036868,7203.493388936051,-3952.7728324910977,4.887634444082682,7230.4453327509345,42130.60959812336,8.436178786530421,7315.972626301007,-669.8483062841113,17.8357578060484,7479.068005349431,5336.7105483398345,35.96585244429876,0.9901206317850516,138.0,104.0,124.0,197.0,321.0,34.0,706.0,710.0,58.0,20.0,38.0,0.3448275862068966,114.97191708266662,3259.9566733524384,12.0,7.0,5.0,0.5833333333333334,773.5345132891267,4463.570121536552,21.0,10.0,11.0,0.4761904761904761,2301.4704973401144,42704.6305766749,36.0,28.0,8.0,0.7777777777777778,69.69158839783167,642.8976553275409,80.0,42.0,38.0,0.525,45.6687037744422,5495.810225519904,0.0,0.0,0.0,0.0,7058.0,7092.0,7196.0,7208.0,7220.0,7241.0,7305.0,7320.0,7437.0,7517.0,0.04488568992202416,-0.19569414840407953,0.05462704003795449,-0.10404085185261704,0.008557463134036566
8,8,8501.246609001439,1254.5849112898215,18.60484285924751,8626.109631344281,-4692.094292911781,5.218592909165694,8653.646092032026,43916.77546242185,8.512794903607466,8739.72601729957,-775.5689398103272,7.64389620259217,8904.48910435787,4266.1629060108535,33.78622138146858,0.9935082026789408,131.0,102.0,126.0,201.0,327.0,29.0,1427.0,1423.0,38.0,21.0,17.0,0.5526315789473685,83.69290155765636,1174.2609971346856,13.0,8.0,5.0,0.6153846153846154,829.2316941040534,3578.908196695035,21.0,11.0,10.0,0.5238095238095238,2327.4124145219744,43070.29179734958,14.0,10.0,4.0,0.7142857142857143,85.82296207055606,924.6111766866268,84.0,43.0,41.0,0.5119047619047619,46.908530746052946,4221.216036873346,0.0,0.0,0.0,0.0,8487.0,8516.0,8618.0,8631.0,8643.0,8664.0,8730.0,8744.0,8861.0,8945.0,0.06670963503906072,-0.1767295459847751,0.05299597682242097,-0.11065807005054237,0.010995485118479816
9,9,9206.738771980068,1909.2581536969765,17.268251476478977,9335.867256393536,-4460.871395865631,5.403430920424931,9363.68210678559,42467.54271002449,8.488786754431214,9435.095930801726,-952.1834524544008,30.57558481036868,9612.45603113618,4664.436734176727,31.553810870304225,0.9930349149834108,137.0,104.0,188.0,133.0,321.0,33.0,708.0,711.0,36.0,19.0,17.0,0.5277777777777778,71.20154277722082,2132.743792787306,14.0,8.0,6.0,0.5714285714285714,779.6916929677999,3770.495489027046,21.0,11.0,10.0,0.5238095238095238,2270.489201784869,41232.59676636051,105.0,19.0,86.0,0.1809523809523809,47.86699810405267,954.8814470152408,76.0,39.0,37.0,0.5131578947368421,50.044415545414736,4717.24840404811,0.0,0.0,0.0,0.0,9191.0,9224.0,9328.0,9342.0,9353.0,9374.0,9418.0,9516.0,9573.0,9649.0,0.03729277920817062,-0.17478461577942464,0.05346410592409714,-0.05027077290690995,0.010728930071820894
10,10,10633.621575619323,1191.5271449217355,11.860318542677083,10761.407230252358,-4660.997587369945,6.001045220254494,10788.126398065904,41297.643011472624,8.610348721206668,10810.150678199714,-2566.6943665030944,5.09593080172337,11036.707507768622,4667.620922446213,31.00269722507676,0.9939006675540554,133.0,108.0,63.0,257.0,320.0,25.0,1426.0,1424.0,26.0,14.0,12.0,0.5384615384615384,69.26748707908969,1200.5687965652044,14.0,8.0,6.0,0.5714285714285714,822.7682876087259,3959.804151611604,21.0,10.0,11.0,0.4761904761904761,2293.923854146528,41451.48031437097,7.0,1.0,6.0,0.1428571428571428,1187.114680284745,16774.806268411092,77.0,40.0,37.0,0.5194805194805194,69.7026080090644,4416.1553718617815,0.0,0.0,0.0,0.0,10620.0,10645.0,10753.0,10766.0,10778.0,10799.0,10809.0,10816.0,10998.0,11073.0,0.05813336890754551,-0.17652192951959633,0.05554612047736642,-0.4625072216533864,0.014933219549571856
11,11,11357.301356399426,734.9751592288388,10.19186160345618,11477.63940696831,-4352.9937327292955,5.099298392839449,11504.727720552846,42829.129494271314,8.639397033214795,11573.73958129381,-929.314843767176,109.56251223715444,11753.359040044365,4399.950412671502,34.635911216989584,0.9958250848539688,115.0,106.0,185.0,138.0,323.0,9.0,728.0,716.0,12.0,5.0,7.0,0.4166666666666667,81.49184020447089,581.4461008285016,14.0,9.0,5.0,0.6428571428571429,866.6004445993057,4358.49744032878,21.0,11.0,10.0,0.5238095238095238,2253.803316113105,41204.07098957501,110.0,29.0,81.0,0.2636363636363636,39.59170137895786,1125.9556891932402,79.0,39.0,40.0,0.4936708860759494,38.82826974341354,4270.350647367155,0.0,0.0,0.0,0.0,11354.0,11363.0,11469.0,11483.0,11494.0,11515.0,11549.0,11654.0,11714.0,11792.0,0.11087699928522064,-0.19908148226438024,0.05262314090260851,-0.04260310877900589,0.00882470621295896
12,12,11892.27398270043,214.82503645241584,7.64389620259217,12209.8900537415,-4790.749259105789,6.270067368221535,12237.117739925074,40805.44615512922,8.648378941063516,12258.72601729957,-3043.155545037983,5.295131874626103,12485.80306191286,4545.811435459612,28.741329540493194,0.9917220480059538,313.0,305.0,64.0,256.0,320.0,8.0,532.0,733.0,8.0,4.0,4.0,0.5,48.0235020214253,329.62953438013704,15.0,9.0,6.0,0.6,809.4710608838351,3905.411185528788,21.0,10.0,11.0,0.4761904761904761,2264.315216013892,40810.03511914624,8.0,2.0,6.0,0.25,1189.007520837901,17152.37398051431,74.0,39.0,35.0,0.527027027027027,45.236489870804235,4496.791841669996,0.0,0.0,0.0,0.0,11888.0,11896.0,12201.0,12216.0,12227.0,12248.0,12257.0,12265.0,12447.0,12521.0,0.2235470446763434,-0.168965440916214,0.05549051485445575,-0.3907153292826708,0.009951246441490489
13,13,12826.442186473509,438.9557543399069,2.8307314911549835,12944.318797896196,-4650.303577900983,5.94138031777186,12971.29390470644,41172.827646257785,8.585016740749271,12993.72601729957,-2762.774605826921,5.307705876455004,13219.88424627626,4801.076143319477,30.21715905591205,0.992582900718183,113.0,106.0,62.0,259.0,321.0,7.0,935.0,734.0,7.0,3.0,4.0,0.4285714285714285,56.41066883195832,388.6292682294983,14.0,8.0,6.0,0.5714285714285714,800.6052415289116,3800.849541922344,21.0,10.0,11.0,0.4761904761904761,2296.4779692454745,41445.19034432637,8.0,3.0,5.0,0.375,1133.5682114704214,16426.986552049533,75.0,38.0,37.0,0.5066666666666667,40.06041879687073,4637.037945409483,0.0,0.0,0.0,0.0,12823.0,12830.0,12936.0,12950.0,12961.0,12982.0,12992.0,12998.0,13182.0,13257.0,0.1285110589717353,-0.17216193053148637,0.055776542456009874,-0.41030064815263323,0.008344049875695753
