Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.43313701976092,507.457465809862,819.5181266143144,378.0,,,,,,,,,,,,,,,
1,1,1493.059018503415,3255.9555510696077,16.670907047555495,1610.141766423797,-4278.218739259785,6.923674682216664,1639.98470682913,43990.133583981995,10.358465651791562,1666.301356399424,-3769.337708246015,5.380474952763362,1876.0458311081677,13238.087142193,31.654179737115857,0.9862496757544464,127.0,85.0,73.0,241.0,314.0,42.0,,,42.0,20.0,22.0,0.4761904761904761,61.58687772545055,3380.999887689162,15.0,10.0,5.0,0.6666666666666666,739.1474466739736,4473.194694923239,26.0,13.0,13.0,0.5,1895.30959759638,42970.09808173115,9.0,2.0,7.0,0.2222222222222222,1003.4600278255972,14226.160164496609,79.0,40.0,39.0,0.5063291139240507,98.04555726205848,13885.288766814016,0.0,0.0,0.0,0.0,1473.0,1515.0,1600.0,1615.0,1627.0,1653.0,1664.0,1673.0,1837.0,1914.0,0.018915146954392163,-0.17276990535595205,0.04308487933954613,-0.26621653603241,0.007406323603170995
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2019.0,2291.0,2378.0,2389.0,2413.0,2421.0,2439.0,2604.0,2673.0,,,,,
3,3,3046.0058675381274,3011.9545544283587,13.449247349602835,3158.4575980912527,-4264.986257113755,8.21839432247398,3188.183672979144,40747.87601450759,10.142958122860676,3213.3013563994245,-4800.190110383375,5.339731317875032,3423.6292682669227,13851.806294165564,35.25714674165887,0.9709200823280406,119.0,84.0,73.0,245.0,318.0,35.0,1553.0,1549.0,35.0,17.0,18.0,0.4857142857142857,76.72062327397933,2991.808238896876,16.0,10.0,6.0,0.625,645.7235158771223,3141.3633505265434,25.0,12.0,13.0,0.48,1835.4022788073032,40192.291125030475,11.0,3.0,8.0,0.2727272727272727,1095.6983547396276,15123.952415091204,86.0,44.0,42.0,0.5116279069767442,89.18190707532018,14627.363688266702,0.0,0.0,0.0,0.0,3029.0,3064.0,3148.0,3164.0,3176.0,3201.0,3211.0,3221.0,3382.0,3466.0,0.025472038799914828,-0.15140107774089356,0.04504289446040916,-0.22826144997247158,0.006438287193843012
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3632.0,3957.0,3985.0,3996.0,4021.0,4030.0,4046.0,4212.0,4284.0,,,,,
5,5,4749.2730354314945,2830.8460571896153,11.75873801125739,4859.972626301007,-4944.920208279417,17.83575780604514,4887.93001158259,44019.51961467846,10.502596415075727,4913.301356399425,-5401.375706910665,6.141673712156177,5127.556612853758,14112.882736493731,32.204969018468105,0.9759730125236136,112.0,79.0,77.0,245.0,322.0,33.0,1702.0,1700.0,33.0,16.0,17.0,0.4848484848484848,77.11022837792775,2767.3620074972105,20.0,16.0,4.0,0.8,859.5171988281365,5433.957127357409,25.0,12.0,13.0,0.48,1925.820836721264,42417.872839392425,12.0,3.0,9.0,0.25,1139.044497025306,16618.140986992465,81.0,41.0,40.0,0.5061728395061729,100.652251115355,14789.026547871086,0.0,0.0,0.0,0.0,4733.0,4766.0,4845.0,4864.0,4876.0,4901.0,4911.0,4922.0,5088.0,5167.0,0.02723928706122601,-0.17381821397017144,0.043749247006300646,-0.21088044210070075,0.007131941290427069
6,6,5627.691605366392,2011.652156105539,8.239670640754923,5733.668056969617,-5502.29069838094,20.383723206912453,5765.955971493376,42565.32490699082,10.384617140886784,5790.876695499281,-6381.252007599547,7.252449735035992,6006.943851108983,13566.674880837249,31.162548888765773,0.9697226389419294,106.0,80.0,80.0,245.0,325.0,26.0,879.0,878.0,26.0,13.0,13.0,0.5,88.91380529092831,1766.8281448852645,22.0,13.0,9.0,0.5909090909090909,562.2895214513374,886.5654669747178,24.0,12.0,12.0,0.5,1911.1680944360696,40393.05298913497,13.0,3.0,10.0,0.2307692307692307,1130.108907285151,17438.579848269805,79.0,40.0,39.0,0.5063291139240507,89.43425724502116,13973.889807255871,0.0,0.0,0.0,0.0,5615.0,5641.0,5721.0,5743.0,5754.0,5778.0,5788.0,5801.0,5968.0,6046.0,0.044199393528879825,-0.10219189647991375,0.04489964774407688,-0.17709830389699138,0.00659220170237483
7,7,6427.602319873416,2761.342263123663,12.735775310344982,6539.203830537449,-4598.8214283911775,9.659576923247554,6568.994499301788,40591.02432655499,10.202600174911517,6593.876695499281,-5726.090736839888,5.73128376145078,6806.60344885889,14150.81658745011,34.05839491429253,0.9655437783050866,117.0,82.0,74.0,245.0,319.0,35.0,800.0,802.0,35.0,17.0,18.0,0.4857142857142857,69.105779623463,2650.9166951365496,17.0,11.0,6.0,0.6470588235294118,663.6033917150779,2899.500697381323,24.0,12.0,12.0,0.5,1855.7697490045991,39658.572692223715,11.0,3.0,8.0,0.2727272727272727,1118.749793148184,15805.755916978058,82.0,41.0,41.0,0.5,95.45051537040672,14955.832142540236,0.0,0.0,0.0,0.0,6411.0,6446.0,6528.0,6545.0,6557.0,6581.0,6591.0,6602.0,6767.0,6847.0,0.025026155050149313,-0.14429857780914723,0.045718721805956965,-0.19537758735650054,0.006745230197885443
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6963.0,7238.0,7321.0,7332.0,7356.0,7365.0,7383.0,7551.0,7617.0,,,,,
9,9,7973.981790650134,1513.7474359253004,7.170597824495989,8081.483531635385,-5737.952918910732,20.383723206912453,8115.544820735767,43641.81264370616,10.406083141415383,8140.452034599137,-6307.929665276702,7.825873272422979,8354.305687116987,13452.225603546904,28.773076478557968,0.9658020702829032,106.0,84.0,82.0,240.0,322.0,22.0,1546.0,1547.0,22.0,11.0,11.0,0.5,82.62934196091098,1367.6114319929495,26.0,15.0,11.0,0.5769230769230769,420.33627697824,3028.0297421387877,25.0,13.0,12.0,0.52,1963.5119914769907,40397.77416781387,15.0,3.0,12.0,0.2,1191.0491211495912,18368.5914830334,74.0,37.0,37.0,0.5,102.09151537824891,13898.832308242878,0.0,0.0,0.0,0.0,7963.0,7985.0,8069.0,8092.0,8103.0,8128.0,8137.0,8151.0,8318.0,8391.0,0.054585950073238326,-0.07325544195263889,0.04499153157333762,-0.18881775548417518,0.007589191438428656
