,center,height,width
p,521447.5407874191,3145.6872529483867,16.89661708458627
q,521568.32570378546,-4548.582655914879,16.877669572496345
r,521603.6337949289,41025.45131825672,10.471339201832274
s,521652.37311304733,-7616.702190006711,23.616782109187355
t,521876.1846751233,9937.822463365965,35.04776251635358
