Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.94713050889776,256.0130873789551,408.04497000859186,215.0,,,,,,,,,,,,,,,
1,1,1289.9061145255894,302.4929921938634,1.1464457666140564,1411.178051898704,-2081.415388417809,22.93168860777651,1445.0943830138651,13075.058641839383,8.944047323816934,1516.767200703312,-1034.6093761550128,40.47116752324848,1689.9749341423178,2081.6168103548484,26.842727173184937,0.946281401063274,112.0,108.0,169.0,156.0,325.0,4.0,,,4.0,2.0,2.0,0.5,63.37159408072252,290.84181522603535,27.0,13.0,14.0,0.4814814814814814,118.6142069153302,1937.355634442985,19.0,9.0,10.0,0.4736842105263157,696.2931570936248,13305.481748491664,86.0,33.0,53.0,0.3837209302325581,53.33336863835263,1044.754400442539,71.0,36.0,35.0,0.5070422535211268,53.43992326831666,2224.3933498134056,0.0,0.0,0.0,0.0,1288.0,1292.0,1400.0,1424.0,1436.0,1455.0,1484.0,1569.0,1654.0,1725.0,0.2094977262815681,-0.05698728258442202,0.053253539901192457,-0.051549280209076544,0.025672315386042102
2,2,2054.8227523537103,644.6143464903447,11.727416741224184,2183.397287201152,-1787.4885507456936,15.644449994618029,2210.0113867605255,13074.945059198844,9.709734422271174,2275.8219481012957,-729.4673464912432,14.08957723875981,2454.796979331475,2537.408038793005,28.918374397638065,0.9719771658526392,128.0,103.0,133.0,188.0,321.0,25.0,768.0,764.0,25.0,14.0,11.0,0.56,67.77595809286937,715.2657881993904,24.0,18.0,6.0,0.75,253.1519085274932,1335.7682736068016,20.0,10.0,10.0,0.5,678.6840599308648,14166.49170245739,64.0,18.0,46.0,0.28125,63.47505145763424,747.4877681373005,71.0,35.0,36.0,0.4929577464788732,67.06825101311566,2746.8660864278204,0.0,0.0,0.0,0.0,2041.0,2066.0,2169.0,2188.0,2200.0,2220.0,2263.0,2302.0,2421.0,2490.0,0.10514187042513264,-0.14162435245914431,0.0519072207843335,-0.087015617303435,0.026431795748948092
3,3,2850.0633036752847,504.0252225556393,9.620703744908772,2975.6687041012715,-1797.384929759192,21.490183970946337,3004.939000827555,13119.35010082053,9.784744538751635,3101.0452800389485,-832.4920276110196,28.11239534605209,3250.4995753533485,2537.5488844850415,28.604361017465006,0.9633871625559184,122.0,103.0,171.0,152.0,323.0,19.0,790.0,797.0,20.0,10.0,10.0,0.5,63.264125506285914,350.8543374461967,22.0,14.0,8.0,0.6363636363636364,204.60222921552497,88.22735212950136,20.0,10.0,10.0,0.5,664.3172063467593,13832.763071980296,86.0,45.0,41.0,0.5232558139534884,66.89233927266402,572.971443462776,77.0,38.0,39.0,0.4935064935064935,59.26925056079276,2455.578105959131,0.0,0.0,0.0,0.0,2840.0,2859.0,2962.0,2984.0,2995.0,3015.0,3057.0,3133.0,3213.0,3285.0,0.1255177770380374,-0.11383328402722112,0.050636441686635884,-0.0803519277711562,0.023356890156155788
4,4,3652.301356399425,457.09309307103325,5.375704993570159,3771.178051898814,-1843.671472513909,22.931688607774817,3804.5422461863504,12862.205100469006,9.022402448904147,3879.767200703312,-1157.5777476528149,29.29084354859112,4056.657460196832,2347.39761553201,28.224427793905907,0.9572137857077656,116.0,103.0,172.0,155.0,327.0,13.0,806.0,798.0,13.0,7.0,6.0,0.5384615384615384,63.30008017796817,417.5915264746539,23.0,10.0,13.0,0.4347826086956521,130.9500070585967,1517.1887686105315,20.0,10.0,10.0,0.5,678.3742738745412,13088.838438702389,87.0,33.0,54.0,0.3793103448275862,67.34397682199206,976.5157826735084,77.0,46.0,31.0,0.5974025974025974,58.022677944296355,2152.505817600536,0.0,0.0,0.0,0.0,3645.0,3658.0,3761.0,3784.0,3795.0,3815.0,3847.0,3933.0,4011.0,4088.0,0.13848400060626426,-0.07102675775529677,0.05274167754095331,-0.0581766338879124,0.024717873768115843
5,5,4420.849321800287,283.56012049602066,4.385518258993387,4539.7533910033635,-1636.855975390888,25.47965400864057,4575.630060285175,13217.21661437251,9.146723197635984,4645.917878903023,-1047.081957297983,22.325920011599184,4822.582552583872,2377.118214676437,26.441555096132745,0.961263385060784,114.0,104.0,154.0,170.0,324.0,10.0,766.0,771.0,10.0,3.0,7.0,0.3,53.947646960584414,184.73747612653153,28.0,13.0,15.0,0.4642857142857143,107.8490874661555,1656.5634277854265,21.0,11.0,10.0,0.5238095238095238,679.8749415361447,13503.469319036609,91.0,31.0,60.0,0.3406593406593406,49.772936631466585,785.302549072138,68.0,34.0,34.0,0.5,50.22346182777536,2452.2692824089268,0.0,0.0,0.0,0.0,4418.0,4428.0,4532.0,4554.0,4565.0,4586.0,4616.0,4686.0,4790.0,4856.0,0.19025117800844457,-0.06588795171206231,0.051438586608079276,-0.04753490047704259,0.02112787724131404
6,6,5216.216949733155,636.5103301287863,12.700855277626902,5346.821948101295,-1844.2774080578895,18.18317503834512,5373.039288150428,13028.907190695798,9.889198975657788,5440.671269901583,-885.1413509903607,16.90403033918689,5616.759432788831,2410.221090008284,29.229961136670475,0.9657396681922674,129.0,104.0,147.0,174.0,321.0,25.0,799.0,798.0,30.0,18.0,12.0,0.6,54.49127536924176,556.7509211610163,22.0,17.0,5.0,0.7727272727272727,276.81076851084146,1561.3390771615582,20.0,10.0,10.0,0.5,668.6187224994545,14069.358383288509,59.0,16.0,43.0,0.2711864406779661,54.75811259667633,901.0609787646382,76.0,39.0,37.0,0.5131578947368421,61.53143756565511,2445.8176749449567,0.0,0.0,0.0,0.0,5203.0,5228.0,5332.0,5352.0,5363.0,5383.0,5425.0,5479.0,5581.0,5653.0,0.08560941243202831,-0.15009172009667254,0.05131809696034434,-0.06186369277111385,0.025529374803306373
7,7,6034.325400347295,391.9475524541548,5.720824731041715,6154.4392466175,-1620.861706680847,22.931688607776493,6188.130588978544,13069.4856158103,9.2196330067137,6250.821948101295,-823.6849429723342,14.835048498148067,6433.503243247596,2304.4431047365906,27.8300400599408,0.9625302604047103,116.0,104.0,158.0,164.0,322.0,12.0,814.0,816.0,12.0,5.0,7.0,0.4166666666666667,74.28013798940181,315.23595599793714,24.0,10.0,14.0,0.4166666666666667,119.66053160709788,1338.0774178515903,20.0,10.0,10.0,0.5,673.4950215533356,13791.908666063478,92.0,20.0,72.0,0.217391304347826,57.12362314550693,873.4307921333966,74.0,38.0,36.0,0.5135135135135135,59.67450980494445,2418.049304108765,0.0,0.0,0.0,0.0,6029.0,6041.0,6145.0,6167.0,6178.0,6198.0,6238.0,6303.0,6406.0,6467.0,0.18951550411350046,-0.07382525672232408,0.05153186906901687,-0.06935130189386696,0.02589541468057444
8,8,6811.612410578964,831.6163111172717,16.491699981717943,6937.972626301007,-1403.2536725469115,14.806873077180851,6965.14934303214,13091.315404246976,9.448836537454117,7049.821948101295,-514.5617643635123,20.32563829960483,7210.32337831236,2668.831161128874,31.326838214979727,0.9779324669714512,129.0,99.0,132.0,190.0,322.0,30.0,778.0,776.0,30.0,17.0,13.0,0.5666666666666667,66.56465666650709,740.2884783995728,20.0,15.0,5.0,0.75,251.5582748192705,1353.9807486857744,20.0,10.0,10.0,0.5,681.6171627726598,14068.320591947944,59.0,33.0,26.0,0.559322033898305,58.76591991317194,435.7333451629757,84.0,42.0,42.0,0.5,57.939607831180986,2777.7222022747983,0.0,0.0,0.0,0.0,6795.0,6825.0,6924.0,6942.0,6955.0,6975.0,7037.0,7056.0,7169.0,7246.0,0.08004250972071225,-0.17926785423101096,0.05206636168520813,-0.11420576495002986,0.021709731464119083
9,9,7592.178051898705,817.4908142045797,21.699642215430476,7720.123304500719,-1660.3871776393344,10.953864994656469,7746.389435425667,12824.22814604364,10.148540086349811,7806.273982700431,-358.3050788102364,7.114556510619593,7990.535690083329,2671.694634894517,33.28168678990225,0.9715564881663648,130.0,99.0,111.0,214.0,325.0,31.0,785.0,782.0,38.0,25.0,13.0,0.6578947368421053,64.7995992452741,747.7766353657074,21.0,16.0,5.0,0.7619047619047619,268.22992642289745,2148.8987288309986,21.0,10.0,11.0,0.4761904761904761,664.9399088424703,14447.037285851897,13.0,4.0,9.0,0.3076923076923077,59.44481662740994,534.4148742622237,78.0,38.0,40.0,0.4871794871794871,59.23798667207178,2841.1127884641987,0.0,0.0,0.0,0.0,7574.0,7605.0,7704.0,7723.0,7736.0,7757.0,7802.0,7815.0,7954.0,8029.0,0.07926645549934924,-0.1615466139676259,0.0518502869155216,-0.16590559314648393,0.022172439132217888
