Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.628731977279294,444.7171628656366,631.4179634981089,133.0,,,,,,,,,,,,,,,
1,1,1494.027373698992,4389.507585002633,9.06911946976667,1572.698643600576,-5977.341168849507,10.191861603456228,1599.9894993049372,37758.4281461022,8.978948654692093,1632.6686976837927,-16168.395572345828,9.723592369058755,1854.34277407988,18083.897893696463,35.33990269005343,0.9567632448216792,82.0,63.0,78.0,253.0,331.0,19.0,,,24.0,13.0,11.0,0.5416666666666666,499.4160548449682,3318.097508170683,18.0,11.0,7.0,0.6111111111111112,839.624828066908,2444.909440176618,22.0,11.0,11.0,0.5,2129.585375197365,39901.77150505269,24.0,12.0,12.0,0.5,1066.514523011111,17724.90168687889,87.0,41.0,46.0,0.4712643678160919,329.0086968883222,18671.15638934559,,,,,1485.0,1504.0,1567.0,1580.0,1589.0,1611.0,1621.0,1645.0,1814.0,1898.0,0.11377496112577479,-0.14046794458421644,0.056400265576659135,-0.0659629162484904,0.018193461322462197
2,2,2476.7774493357833,4011.638583666912,8.45595040162419,2559.5479654008636,-7384.606860893405,12.115804117719192,2582.876297621049,39183.263623461375,9.673461226804177,2615.4390032829283,-16503.274989122867,9.250479266289062,2838.715603628664,18566.749072253035,34.77160674327438,0.948987195656578,80.0,60.0,78.0,254.0,332.0,20.0,983.0,982.0,21.0,10.0,11.0,0.4761904761904761,420.164059559747,3533.663091325825,18.0,14.0,4.0,0.7777777777777778,1258.5489880200664,9668.178258627502,24.0,11.0,13.0,0.4583333333333333,2057.204445499609,40691.21744548551,21.0,10.0,11.0,0.4761904761904761,1093.5057652567343,20561.143241560258,86.0,42.0,44.0,0.4883720930232558,358.2614794774501,19500.675128675757,,,,,2468.0,2488.0,2548.0,2563.0,2572.0,2596.0,2605.0,2626.0,2800.0,2880.0,0.10473626943125278,-0.17042870551240213,0.05250212093787504,-0.06625992513470523,0.019295864778657013
3,3,3461.630648914505,4136.539898189038,8.968896816834881,3544.5479654008636,-6620.7862874971615,15.28779240518434,3567.891062523177,40561.1972256105,9.331013894906468,3600.924866130469,-16775.165827611832,9.220952213879006,3823.228865025704,18006.661877114737,35.06998889149339,0.9535037189754616,80.0,58.0,80.0,254.0,334.0,22.0,984.0,986.0,28.0,14.0,14.0,0.5,302.6645604147724,3155.4816995364035,25.0,21.0,4.0,0.84,1210.6469243994754,10093.599681934857,22.0,10.0,12.0,0.4545454545454545,2122.521370300472,41277.13552898727,22.0,11.0,11.0,0.5,1153.4529678466424,19563.010575579065,86.0,43.0,43.0,0.5,298.9894772157567,18723.184286048087,,,,,3452.0,3474.0,3532.0,3548.0,3558.0,3580.0,3590.0,3612.0,3782.0,3866.0,0.07316853405603022,-0.18285546033794925,0.05232886392614426,-0.06875955681749894,0.016604381159383702
4,4,4441.301356399425,3733.8871011396473,7.743893839426452,4521.27398270043,-8558.687127433299,7.643896202584969,4544.4151964190105,36785.29115169046,9.838323511864916,4576.554975833798,-16086.57502939788,10.671001338813005,4799.968392441238,18204.96777008655,34.2232382758571,0.9539865601999274,79.0,61.0,81.0,252.0,333.0,18.0,979.0,975.0,22.0,13.0,9.0,0.5909090909090909,340.65565349042214,2333.5512866181443,15.0,13.0,2.0,0.8666666666666667,1169.2275190460252,7864.889688756757,22.0,10.0,12.0,0.4545454545454545,2106.9443353865668,40618.14168775558,23.0,11.0,12.0,0.4782608695652174,1032.7408748877594,18689.901998930276,87.0,43.0,44.0,0.4942528735632184,303.19415836840375,18441.331291500715,,,,,4429.0,4447.0,4508.0,4523.0,4534.0,4556.0,4566.0,4589.0,4761.0,4841.0,0.09123351731402059,-0.13661295262193676,0.05727681552657067,-0.06419892817460815,0.016654473778668067
5,5,5429.027373698993,3938.288073679942,7.798635683401866,5508.123304500719,-7278.387300627058,12.739827004279974,5534.06667628616,39040.67959238563,9.579230290331504,5566.645856867086,-16545.07171105361,9.40382037087917,5790.921840487215,18694.33825548653,34.161555985933575,0.9495929843839606,81.0,62.0,77.0,255.0,332.0,19.0,989.0,990.0,19.0,9.0,10.0,0.4736842105263157,409.3784552691092,2925.690154520275,13.0,7.0,6.0,0.5384615384615384,1027.8568627689122,2716.693029092933,24.0,11.0,13.0,0.4583333333333333,2092.957706135351,41392.75457736059,22.0,11.0,11.0,0.5,1173.561361645169,19234.88797323904,85.0,42.0,43.0,0.4941176470588235,433.2578688113024,19912.111348192582,,,,,5420.0,5439.0,5501.0,5514.0,5523.0,5546.0,5556.0,5578.0,5750.0,5833.0,0.10394832668667262,-0.14122041330232024,0.05360966376578021,-0.07093117407651509,0.023175886885653585
6,6,6422.052340948189,4110.640454957426,10.05034792420247,6506.547965400863,-6095.078381041637,15.287792404692086,6529.7178900255,40996.74609157262,9.395495414639091,6562.726996115474,-16639.030065883537,9.156858514978012,6786.835512095537,18438.225996946418,35.72862147667516,0.9558589672608584,78.0,58.0,83.0,257.0,340.0,20.0,988.0,997.0,24.0,10.0,14.0,0.4166666666666667,401.0458503384507,3648.350629189983,20.0,17.0,3.0,0.85,1286.9280275046997,10329.831882636852,23.0,11.0,12.0,0.4782608695652174,2192.3564651067104,41765.3033904044,22.0,11.0,11.0,0.5,1106.7833925888274,19433.11773986555,89.0,44.0,45.0,0.4943820224719101,346.16888737393214,19054.781905713855,,,,,6413.0,6433.0,6491.0,6510.0,6519.0,6542.0,6552.0,6574.0,6743.0,6831.0,0.0975628627054429,-0.21114216209386402,0.053476352982008396,-0.06651730228303165,0.018774522420500848
7,7,7376.452034599137,3975.161902633331,8.919702652074456,7454.397287201151,-5594.215492116333,16.499037084054518,7480.193605522797,38975.98519267878,9.1352389842148,7513.559092188123,-16404.662216100776,9.5283386169654,7735.255517149544,18145.81766926437,35.523505579936554,0.9534780049167312,76.0,58.0,82.0,255.0,337.0,18.0,959.0,949.0,26.0,13.0,13.0,0.5,367.2233957383342,2148.5840010906627,17.0,12.0,5.0,0.7058823529411765,891.2052651151595,2430.686319645917,22.0,10.0,12.0,0.4545454545454545,2124.5396269581397,40847.56773636678,23.0,12.0,11.0,0.5217391304347826,1055.804540372936,18097.43326693203,88.0,43.0,45.0,0.4886363636363636,274.3266595366622,18758.781132713128,,,,,7367.0,7385.0,7443.0,7459.0,7470.0,7492.0,7502.0,7525.0,7695.0,7780.0,0.09237948157408846,-0.15930835456215325,0.05450893970878282,-0.06436002926879467,0.015117900142980076
8,8,8345.01015426805,4313.926550301231,9.652451552398093,8426.547965400861,-6380.70536926346,15.287792405035969,8453.001058376598,40161.193154831104,9.484682043134148,8485.53642068388,-16539.296494570808,9.13324975501668,8709.07632536085,19171.003035274793,34.965354900150274,0.9594727664938508,84.0,59.0,79.0,255.0,334.0,25.0,969.0,973.0,27.0,12.0,15.0,0.4444444444444444,362.01733804629333,3628.918161676468,17.0,10.0,7.0,0.5882352941176471,975.6025534736484,3998.247881522502,23.0,11.0,12.0,0.4782608695652174,2021.609571125496,41321.45019688484,22.0,11.0,11.0,0.5,1032.5392219491869,18866.62069081654,88.0,44.0,44.0,0.5,274.37429415314074,19557.47415840757,,,,,8334.0,8359.0,8418.0,8433.0,8442.0,8465.0,8475.0,8497.0,8666.0,8752.0,0.08391828971242325,-0.15289885631974645,0.0503373882178177,-0.062429452322118315,0.014311942554507446
9,9,9301.4477706907,4147.026808100667,9.78133554539424,9380.27398270043,-5765.313775405635,7.64389620259217,9408.665166942952,38301.30586488971,8.725763788620197,9441.27575637824,-16535.216663742518,8.986707408660456,9662.828972991403,18183.826936325742,36.67853403507888,0.9516680645928922,84.0,62.0,77.0,255.0,332.0,22.0,956.0,956.0,25.0,11.0,14.0,0.44,468.71523839367103,3461.571147709985,21.0,12.0,9.0,0.5714285714285714,657.8322537663946,47.87463090373944,22.0,11.0,11.0,0.5,2133.1704649358267,39108.6347212558,23.0,11.0,12.0,0.4782608695652174,1169.2113098809964,18633.41435859466,89.0,43.0,46.0,0.4831460674157303,298.8593399714177,18622.458818626532,,,,,9292.0,9314.0,9376.0,9388.0,9398.0,9420.0,9430.0,9453.0,9622.0,9708.0,0.11302440521438105,-0.11410172618403773,0.055694457845920996,-0.07071037130373843,0.01643544788552666
