cycle,r_squared,p_center,p_height,p_width,p_fwhm,p_rise_time,p_decay_time,p_rise_decay_symmetry,p_sharpness,p_on,p_off,q_center,q_height,q_width,q_fwhm,q_rise_time,q_decay_time,q_rise_decay_symmetry,q_sharpness,q_on,q_off,r_center,r_height,r_width,r_fwhm,r_rise_time,r_decay_time,r_rise_decay_symmetry,r_sharpness,r_on,r_off,s_center,s_height,s_width,s_fwhm,s_rise_time,s_decay_time,s_rise_decay_symmetry,s_sharpness,s_on,s_off,t_center,t_height,t_width,t_fwhm,t_rise_time,t_decay_time,t_rise_decay_symmetry,t_sharpness,t_on,t_off,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval
10,0.8433871690639524,11687.4054747398,4301.60703034759,6.539777862217696,37.0,29.0,8.0,0.7837837837837838,0.07092869471520062,11658.0,11695.0,11783.065746019685,-2167.630847943418,8.40828582285144,28.0,15.0,13.0,0.5357142857142857,-0.1836705372116349,11768.0,11795.0,11816.49040691983,40949.71596585048,5.60552388190084,17.0,9.0,8.0,0.5294117647058824,0.06591661455190541,11807.0,11823.0,11832.691679843057,-7941.920133240296,3.7370159212672838,11.0,4.0,7.0,0.36363636363636365,-0.2515626377077061,11829.0,11840.0,12086.216424219398,8993.060126988563,19.61933358665302,83.0,60.0,23.0,0.7228915662650602,0.03488097231308534,12026.0,12109.0,110.0,73.0,72.0,269.0,341.0,37.0,818.0,800.0
11,0.888438310818096,13275.810949479599,3527.0076646072603,11.954668454131305,39.0,23.0,16.0,0.5897435897435898,0.05620057439511108,13254.0,13291.0,13380.745203459916,-2777.4903684434253,2.8027619409504627,6.0,3.0,3.0,0.5,-0.12256152970500017,13378.0,13384.0,13413.4054747398,39961.473480779816,6.539777862217747,16.0,8.0,8.0,0.5,0.06800364115765642,13405.0,13421.0,13430.254796540084,-8276.074633343565,2.8027619409504627,10.0,3.0,7.0,0.3,-0.24853823094392183,13427.0,13437.0,13684.216424219398,9790.100231602524,19.619333586653237,88.0,63.0,25.0,0.7159090909090909,0.053448792991011254,13636.0,13707.0,124.0,87.0,59.0,270.0,329.0,37.0,1589.0,1597.0
12,0.9252593871495935,14305.934252834439,4966.190843000133,10.27679378348503,50.0,22.0,28.0,0.44,0.06876552524525688,14294.0,14320.0,14427.169864360056,-2016.0398326985537,1.8685079606336419,5.0,2.0,3.0,0.4,-0.24894356261345932,14425.0,14430.0,14456.4054747398,36662.5908251218,6.539777862217747,16.0,8.0,8.0,0.5,0.06784297238563455,14448.0,14464.0,14472.745203459916,-10161.660912795236,2.8027619409504627,8.0,3.0,5.0,0.375,-0.20412345402999754,14470.0,14478.0,14713.112305879022,7843.938772376542,31.764635330771913,90.0,50.0,40.0,0.5555555555555556,0.03870966898974735,14682.0,14753.0,131.0,105.0,53.0,275.0,328.0,26.0,1028.0,1043.0
13,0.9424301967804048,15224.679457440228,5628.296871135618,7.4740318425345675,18.0,11.0,7.0,0.6111111111111112,0.08710442983480167,15215.0,15232.0,15337.129051834641,-2435.5830974427095,5.605523881900925,12.0,6.0,6.0,0.5,-0.09439018381553127,15331.0,15343.0,15376.4054747398,39621.9987730143,6.539777862217747,16.0,8.0,8.0,0.5,0.06698116562750346,15368.0,15384.0,15392.745203459916,-8920.792224595038,2.8027619409504627,8.0,3.0,5.0,0.375,-0.23563673799202176,15390.0,15398.0,15619.324504475631,8458.431015187762,40.172921153623,95.0,43.0,52.0,0.45263157894736844,0.04309799300102613,15579.0,15667.0,116.0,99.0,67.0,269.0,336.0,17.0,919.0,920.0
14,0.9417244654559814,16185.5945252602,5920.036913377993,6.539777862217747,14.0,8.0,6.0,0.5714285714285714,0.05761064701419729,16178.0,16192.0,16299.745203459916,-3599.338836212815,2.8027619409504627,12.0,9.0,3.0,0.75,-0.11976133796972308,16291.0,16303.0,16335.4054747398,41386.91019840917,6.539777862217747,15.0,7.0,8.0,0.4666666666666667,0.06846320620304638,16328.0,16343.0,16352.254796540084,-8598.39078389701,2.8027619409504627,10.0,3.0,7.0,0.3,-0.24891537376316897,16349.0,16359.0,16583.347916258765,8031.746705041884,39.669490803382445,95.0,43.0,52.0,0.45263157894736844,0.043859993705205345,16544.0,16634.0,113.0,99.0,68.0,275.0,343.0,14.0,961.0,959.0
15,0.9286498219971409,17965.764389620257,4781.338111642755,8.408285822851388,40.0,11.0,29.0,0.275,0.07547467682080537,17956.0,17977.0,18077.49040691983,-2848.503866635449,5.605523881900925,59.0,52.0,7.0,0.8813559322033898,-0.08165645110812113,18025.0,18084.0,18113.4054747398,40576.15256528808,6.52679477611343,16.0,8.0,8.0,0.5,0.06797933448125972,18105.0,18121.0,18129.169864360054,-9001.49497439854,1.8685079606336419,11.0,2.0,9.0,0.18181818181818182,-0.24290002838404923,18127.0,18138.0,18368.027373698995,8723.678207397401,32.69888931108873,89.0,50.0,39.0,0.5617977528089888,0.031400241835607676,18320.0,18406.0,69.0,48.0,113.0,268.0,381.0,21.0,1780.0,1778.0
16,0.9262619925528958,18857.818046618326,5570.016587697835,7.4740318425345675,17.0,9.0,8.0,0.5294117647058824,0.06851638259565418,18849.0,18866.0,18971.575339099858,-2978.4275563154806,4.671269901584105,18.0,13.0,5.0,0.7222222222222222,-0.11774631620149176,18959.0,18977.0,19005.427748382233,37151.41160494207,6.539777862217747,17.0,8.0,9.0,0.47058823529411764,0.07100119567613884,18998.0,19013.0,19022.254796540084,-11202.090269903407,2.8027619409504627,10.0,3.0,7.0,0.3,-0.19108838213061025,19019.0,19029.0,19259.77257715891,7894.540531857986,35.50165125203919,89.0,48.0,41.0,0.5393258426966292,0.03557987880729418,19212.0,19301.0,110.0,93.0,70.0,272.0,342.0,17.0,893.0,892.0
17,0.8621680928833816,19676.575339099858,3950.535451971611,4.671269901584105,18.0,13.0,5.0,0.7222222222222222,0.06447913250759665,19664.0,19682.0,19788.8109494796,-3126.8177559149603,13.079555724435494,87.0,72.0,15.0,0.8275862068965517,-0.0851291751309657,19730.0,19804.0,19824.4054747398,34833.08919489666,6.497101637894714,15.0,7.0,8.0,0.4666666666666667,0.07161029745402216,19817.0,19832.0,19841.254796540084,-11483.97852263346,2.8027619409504627,10.0,3.0,7.0,0.3,-0.18289478329447031,19838.0,19848.0,20088.04655985934,9076.294689681752,21.48784154728688,90.0,63.0,27.0,0.7,0.04331984561344591,20026.0,20113.0,66.0,48.0,118.0,265.0,383.0,18.0,819.0,819.0
18,0.9277516007210891,20567.21035438957,5958.4223716101,6.539777862217747,16.0,9.0,7.0,0.5625,0.06050645962511431,20558.0,20574.0,20688.320542559773,-3336.905438153249,6.350637943999893,24.0,15.0,9.0,0.625,-0.19104102970308387,20673.0,20697.0,20717.4054747398,41036.06337058643,6.508511861911152,16.0,8.0,8.0,0.5,0.06761249644424455,20710.0,20725.0,20733.745203459916,-8123.115370627826,2.8027619409504627,11.0,3.0,8.0,0.2727272727272727,-0.25710630887456604,20731.0,20742.0,20978.36710241911,9484.62207348003,28.96187338982145,86.0,47.0,39.0,0.5465116279069767,0.042995449825945956,20932.0,21012.0,115.0,99.0,69.0,270.0,339.0,16.0,890.0,893.0
19,0.8408179129872885,21484.104118340372,4688.095214953358,12.14530174411867,51.0,25.0,26.0,0.49019607843137253,0.057026163591790247,21470.0,21498.0,21593.33972872011,-2564.5401700950197,3.7370159212672838,16.0,4.0,12.0,0.25,-0.1449313294374061,21589.0,21605.0,21633.4054747398,37258.87408284748,6.53977786221279,16.0,8.0,8.0,0.5,0.06877995315323654,21625.0,21641.0,21649.66027127989,-11334.115112927666,3.7370159212672838,12.0,4.0,8.0,0.3333333333333333,-0.18796964478288733,21646.0,21658.0,21906.72601729957,9523.87717013564,14.013809704752314,92.0,70.0,22.0,0.7608695652173914,0.04338949330682112,21856.0,21923.0,119.0,91.0,69.0,265.0,334.0,28.0,916.0,916.0
20,0.9193467683972357,22305.764389620257,3678.412663917633,8.408285822851388,24.0,14.0,10.0,0.5833333333333334,0.07686965405908905,22296.0,22314.0,22430.745203459916,-4328.060814856322,2.8027619409504627,7.0,4.0,3.0,0.5714285714285714,-0.21314247390802205,22427.0,22434.0,22454.4054747398,36507.580855439555,6.498250844819727,16.0,8.0,8.0,0.5,0.06949800214143015,22446.0,22462.0,22470.84522809773,-10744.616004995913,2.8027619409504627,10.0,3.0,7.0,0.3,-0.1944602231318102,22468.0,22478.0,22710.112305879025,8717.910250041508,31.764635330771913,91.0,52.0,39.0,0.5714285714285714,0.03996636324687376,22663.0,22747.0,131.0,113.0,51.0,269.0,320.0,18.0,822.0,821.0
21,0.9449651124350478,23060.764389620257,5145.970717139982,8.408285822851388,37.0,10.0,27.0,0.2702702702702703,0.05536271211420263,23051.0,23080.0,23175.059630403128,-2333.1302410531166,7.4740318425345675,18.0,8.0,10.0,0.4444444444444444,-0.10699117721153828,23167.0,23185.0,23210.4054747398,41366.951698971985,6.539777862217587,16.0,8.0,8.0,0.5,0.06843218823821866,23202.0,23218.0,23226.745203459916,-10462.375494953074,2.8027619409504627,9.0,3.0,6.0,0.3333333333333333,-0.22137681008767257,23224.0,23233.0,23460.857509338937,9588.488533133916,34.567397271720836,91.0,50.0,41.0,0.5494505494505495,0.029669002201622177,23418.0,23501.0,116.0,87.0,66.0,268.0,334.0,29.0,755.0,756.0
22,0.9022081976789629,23910.50959308017,5660.4104798330945,5.605523881900924,23.0,7.0,16.0,0.30434782608695654,0.06477110970324187,23904.0,23927.0,24025.50959308017,-2883.02961461965,5.605523881900925,25.0,8.0,17.0,0.32,-0.13760060723611278,24019.0,24033.0,24063.62392652544,38788.94569526259,6.53977786218247,15.0,8.0,7.0,0.5333333333333333,0.06788375730040523,24056.0,24071.0,24080.888935603143,-10801.910585673948,3.7370159212672838,12.0,4.0,8.0,0.3333333333333333,-0.19673081728942712,24077.0,24089.0,24329.876695499283,8890.119888317298,23.356349507920513,73.0,46.0,27.0,0.6301369863013698,0.04612467299298502,24285.0,24357.0,115.0,92.0,70.0,268.0,338.0,23.0,850.0,853.0
23,0.8782418028341076,24783.33972872011,4779.081465407974,3.7370159212672838,18.0,4.0,14.0,0.2222222222222222,0.06621637160551495,24779.0,24797.0,24917.745203459916,-2890.6870014601245,2.6107511066616915,9.0,6.0,3.0,0.6666666666666666,-0.29403847538152705,24912.0,24921.0,24941.405474739815,38254.24939350749,6.539777862217747,15.0,7.0,8.0,0.4666666666666667,0.06898145654759164,24934.0,24949.0,24958.66027127989,-9241.887435314024,3.7370159212672838,9.0,4.0,5.0,0.4444444444444444,-0.2178299702730206,24955.0,24964.0,25207.961627679313,8907.749007657994,22.4220955276037,110.0,80.0,30.0,0.7272727272727273,0.03640223628776284,25146.0,25234.0,133.0,115.0,52.0,270.0,322.0,18.0,873.0,878.0
24,0.9341173714113731,25755.358914880457,6287.596897378078,14.948063685069135,47.0,18.0,29.0,0.3829787234042553,0.038450248223198855,25738.0,25783.0,25867.33972872011,-2124.9364237638983,3.7370159212672838,16.0,4.0,12.0,0.25,-0.13879710121962244,25863.0,25879.0,25907.4054747398,43316.12657577468,6.539777862217747,16.0,8.0,8.0,0.5,0.06606830487974981,25899.0,25915.0,25923.74520352382,-8305.070282589972,2.8027619409504627,10.0,3.0,7.0,0.3,-0.2652243908624952,25921.0,25931.0,26171.536966779167,9750.268566163946,27.093365429187806,82.0,50.0,32.0,0.6097560975609756,0.04200034411231369,26124.0,26203.0,125.0,80.0,68.0,272.0,340.0,45.0,971.0,966.0
