Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.75434353051564,221.73872940317057,313.48494692579663,451.0,,,,,,,,,,,,,,,
1,1,11121.73402093626,2097.9718126304183,10.898147664484172,11226.54796540086,-6026.6179358783775,14.235648840361597,11252.333743844016,52521.18764803716,9.901574170971772,11276.45203459914,-8600.277700761062,9.540143785476834,11488.793728212186,11789.33181230718,32.116212430577555,0.98790946343239,106.0,76.0,76.0,239.0,315.0,30.0,,,30.0,15.0,15.0,0.5,71.72044262100611,1998.3022070987324,19.0,15.0,4.0,0.7894736842105263,1212.0219444961629,10069.61725781114,23.0,11.0,12.0,0.4782608695652174,2572.840828370513,50786.15675600241,17.0,3.0,14.0,0.1764705882352941,1487.4534033023735,24107.01780012164,78.0,39.0,39.0,0.5,81.12111970739085,12414.213778466516,0.0,0.0,0.0,0.0,11107.0,11137.0,11213.0,11230.0,11241.0,11264.0,11273.0,11289.0,11451.0,11528.0,0.03418560830475776,-0.2011114620823414,0.04898672218937658,-0.17295411323412785,0.006880892064018969
2,2,15031.555650515103,2514.542542379259,13.732053358893474,15138.54796540086,-5997.450639222441,10.676086982396612,15164.005613517977,51826.35818628357,9.847816307236572,15188.45203459914,-8345.523963438905,8.537524558811873,15399.118902768205,11734.97172604448,32.635475538979655,0.9908578880248756,112.0,77.0,74.0,238.0,312.0,35.0,3909.0,3912.0,35.0,18.0,17.0,0.5142857142857142,68.40301469864487,2483.813603483484,18.0,15.0,3.0,0.8333333333333334,1242.7077963349386,11201.384372646804,24.0,12.0,12.0,0.5,2588.50166615675,50312.76466844522,17.0,4.0,13.0,0.2352941176470588,1458.446844966252,23362.277379015784,79.0,39.0,40.0,0.4936708860759494,82.22834734221482,12456.080925885237,0.0,0.0,0.0,0.0,15014.0,15049.0,15126.0,15142.0,15152.0,15176.0,15185.0,15200.0,15362.0,15438.0,0.027202965766457848,-0.2072060065334783,0.049945660022120295,-0.17475797222026979,0.007007119340536462
3,3,15901.5083686845,2132.3115872497037,11.264286421699117,16005.54796540086,-6062.037296558408,11.30877465878844,16031.075049570756,51532.228122864,9.86854118860122,16055.45203459914,-8115.440195509735,8.682229421335943,16269.227229872597,11685.163077643248,32.52884295904591,0.9884649610067504,106.0,75.0,75.0,241.0,316.0,31.0,869.0,867.0,31.0,16.0,15.0,0.5161290322580645,68.39700756394595,2003.8857434114168,18.0,15.0,3.0,0.8333333333333334,1227.636044507722,10823.315388135456,23.0,11.0,12.0,0.4782608695652174,2563.9599142310335,50186.157265867136,16.0,3.0,13.0,0.1875,1444.3997662312356,23109.040221910334,79.0,39.0,40.0,0.4936708860759494,80.38574848901608,12356.561357633607,0.0,0.0,0.0,0.0,15886.0,15917.0,15992.0,16009.0,16020.0,16043.0,16052.0,16067.0,16231.0,16308.0,0.03207646010692355,-0.2025121233095491,0.04975449359802564,-0.17798169063342006,0.006879300524509999
4,4,17522.192303556447,2186.996739086436,12.01689582973754,17626.972626301005,-6217.332677385637,10.916671558810949,17652.699686504333,52407.12226655943,9.895688941267387,17676.45203459914,-8599.549157802072,9.89025130449368,17887.89588665846,12290.355422357512,32.727470875202314,0.9892130655019004,108.0,75.0,76.0,237.0,313.0,33.0,1622.0,1622.0,33.0,16.0,17.0,0.4848484848484848,65.87299510147346,2170.4531679718452,18.0,14.0,4.0,0.7777777777777778,1191.512077391772,9701.479602316578,23.0,12.0,11.0,0.5217391304347826,2618.911023673839,48996.68623852442,18.0,3.0,15.0,0.1666666666666666,1510.005796675325,24524.24404786566,79.0,39.0,40.0,0.4936708860759494,84.94756558958483,13039.822149387675,0.0,0.0,0.0,0.0,17506.0,17539.0,17614.0,17631.0,17641.0,17664.0,17673.0,17690.0,17851.0,17927.0,0.030120298729384612,-0.19164360976302106,0.049972425701094926,-0.17559127449202952,0.006911725712590527
5,5,18345.423052425667,2105.7221219981125,11.467583359572403,18450.54796540086,-6149.23548705329,12.308732209017617,18476.11090361996,52428.67578761954,9.898271285910216,18500.45203459914,-8461.85998699295,8.797202258358542,18714.152934297395,12097.096127292432,31.378624694880173,0.987211119508316,107.0,76.0,76.0,239.0,315.0,31.0,823.0,823.0,31.0,15.0,16.0,0.4838709677419355,64.65457529570445,2058.047455090825,18.0,15.0,3.0,0.8333333333333334,1240.262003918894,10817.034443449107,23.0,11.0,12.0,0.4782608695652174,2595.0601524697995,50897.955769396,17.0,3.0,14.0,0.1764705882352941,1480.3560400179651,23747.564344848084,76.0,37.0,39.0,0.4868421052631579,87.07389940514956,12779.450787706504,0.0,0.0,0.0,0.0,18330.0,18361.0,18437.0,18454.0,18465.0,18488.0,18497.0,18513.0,18678.0,18752.0,0.030704229499357655,-0.2016936912775846,0.049496961605171697,-0.17494452074289546,0.007197917457950994
6,6,19269.55999252325,2660.8069138494175,14.479444985893595,19372.54796540086,-5856.32844406549,10.211927870305136,19398.767261396857,51842.04601241341,9.897415943214645,19422.45203459914,-8492.643308141716,8.356647926128034,19639.23935634646,12235.43707512339,33.86393695919123,0.9916145997731955,108.0,72.0,74.0,245.0,319.0,36.0,925.0,923.0,36.0,18.0,18.0,0.5,71.3366060792289,2655.650453067392,18.0,14.0,4.0,0.7777777777777778,1171.207923207367,10025.612490761996,23.0,12.0,11.0,0.5217391304347826,2585.932405625507,49326.63384478491,17.0,3.0,14.0,0.1764705882352941,1539.220533881516,24044.365388353093,80.0,39.0,41.0,0.4875,83.24067805950041,13048.354687171051,0.0,0.0,0.0,0.0,19252.0,19288.0,19360.0,19376.0,19387.0,19410.0,19419.0,19434.0,19601.0,19679.0,0.026810140077404367,-0.1999901362079872,0.04988098666102633,-0.18124163208478308,0.006803245159810604
7,7,20832.662652428466,2332.5834764151123,12.792147273429467,20936.972626301005,-6065.794644201228,10.29373361067351,20962.80741075003,52717.52924543756,9.865616328553456,20986.45203459914,-8700.910584821399,9.689992024303786,21198.555863119716,12544.392247003529,34.108050743164576,0.9892269030876634,109.0,75.0,75.0,239.0,314.0,34.0,1563.0,1564.0,34.0,17.0,17.0,0.5,63.89211355755875,2277.244887489273,17.0,13.0,4.0,0.7647058823529411,1183.7191030745123,9806.802191896784,23.0,12.0,11.0,0.5217391304347826,2645.721834133416,49657.91651181646,18.0,3.0,15.0,0.1666666666666666,1529.9868902839132,24834.632247144986,82.0,41.0,41.0,0.5,85.7963235676901,13392.77336991197,0.0,0.0,0.0,0.0,20816.0,20850.0,20925.0,20941.0,20951.0,20974.0,20983.0,21000.0,21160.0,21239.0,0.027391136996199984,-0.19514658383730857,0.05018675708066098,-0.17584215759589017,0.00683941652001389
8,8,21592.034512507897,2158.855814623083,12.544857964272763,21697.972626301005,-6109.795376981395,13.05766454824355,21723.669079140745,52692.660727279195,9.929960089055736,21747.45203459914,-8909.597473612796,9.447039641723286,21961.087797343243,12150.867511097043,32.275313880959494,0.9884756241721682,109.0,76.0,75.0,240.0,315.0,33.0,759.0,761.0,34.0,17.0,17.0,0.5,61.45761078390243,2121.354978775166,19.0,15.0,4.0,0.7894736842105263,1184.579794439693,9597.680785097346,23.0,12.0,11.0,0.5217391304347826,2610.616617802063,49010.269644168686,18.0,3.0,15.0,0.1666666666666666,1538.3035485601574,24746.365066045248,79.0,39.0,40.0,0.4936708860759494,84.25303601781057,12848.127275185798,0.0,0.0,0.0,0.0,21576.0,21609.0,21685.0,21702.0,21712.0,21735.0,21744.0,21760.0,21924.0,22000.0,0.028467677353724703,-0.19388207318735876,0.04954421700801563,-0.17265690769039685,0.006933911174725974
9,9,22458.63208148759,2207.1580160194185,11.566386587594236,22561.972626301005,-6044.903353793006,10.967560129874425,22587.873254584083,51853.89621276387,9.89821568732044,22611.876695499283,-8290.770441724777,8.96021900159988,22827.068416211416,11727.46080667682,32.519030915237735,0.9886546164919916,106.0,75.0,75.0,243.0,318.0,31.0,867.0,864.0,31.0,16.0,15.0,0.5161290322580645,70.0523246794963,2108.4459576379163,18.0,14.0,4.0,0.7777777777777778,1156.3224496432842,9387.396157455769,23.0,12.0,11.0,0.5217391304347826,2583.6662233186785,49614.8811295676,17.0,4.0,13.0,0.2352941176470588,1423.9959645281613,22967.61883744699,80.0,40.0,40.0,0.5,81.7467159629455,12396.669127955378,0.0,0.0,0.0,0.0,22443.0,22474.0,22549.0,22566.0,22576.0,22599.0,22609.0,22624.0,22789.0,22867.0,0.03173869934597377,-0.19128882332216685,0.049825884109412535,-0.17175677152531546,0.006970538406438713
