Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.00864902558442,427.3341317362998,683.4635290762745,325.0,,,,,,,,,,,,,,,
1,1,1378.214492588838,2551.8008622296456,9.375033731460048,1453.178051898704,-2356.268139046454,22.93168860777651,1495.7414206635865,38005.986101450224,8.178528509745417,1531.046276653843,-1684.3194922885966,9.490868692780394,1746.2284856197548,13126.129860298312,31.89803595592259,0.9551407141255048,79.0,63.0,91.0,247.0,338.0,16.0,,,19.0,11.0,8.0,0.5789473684210527,211.53864239925625,2909.678280321051,62.0,42.0,20.0,0.6774193548387096,179.2045736761455,2085.429089143696,20.0,10.0,10.0,0.5,2092.3778248902154,37174.19792221481,19.0,11.0,8.0,0.5789473684210527,253.6297637192556,2978.204745611143,82.0,40.0,42.0,0.4878048780487805,169.22212932289403,13702.972746006964,0.0,0.0,0.0,0.0,1369.0,1385.0,1448.0,1472.0,1486.0,1506.0,1520.0,1539.0,1709.0,1786.0,0.08289778623807798,-0.07605440599331231,0.05505390175392331,-0.1505829297116499,0.012892004812075522
2,2,2990.6816291538744,2947.2426010276927,16.458370654427416,3067.7533909985605,-1493.1510551469282,17.755501457679937,3109.408694529446,38215.85953918661,8.426037033191797,3136.238166416475,-1449.5483858444366,2.699880166500105,3357.7728032150494,13708.806667086992,33.86550021854602,0.9640731828317785,83.0,56.0,77.0,259.0,336.0,27.0,1615.0,1613.0,27.0,12.0,15.0,0.4444444444444444,201.3793735509055,3479.43185279965,42.0,26.0,16.0,0.6190476190476191,160.85144773519622,1239.1231291155168,21.0,10.0,11.0,0.4761904761904761,2053.00159557397,38219.68402591221,7.0,3.0,4.0,0.4285714285714285,619.2652410074372,8527.859225724174,82.0,40.0,42.0,0.4878048780487805,199.9111538732821,14837.294865089692,0.0,0.0,0.0,0.0,2979.0,3006.0,3062.0,3084.0,3099.0,3120.0,3134.0,3139.0,3319.0,3398.0,0.06832806144994147,-0.1077261722320306,0.05372119377476826,-0.42721253533505427,0.01458268095305786
3,3,3832.890142986403,2222.883826452451,10.006544062969192,3904.054747397988,-2284.3341061814012,19.631330838566782,3949.983937002103,39088.937825122455,8.712456466402342,3975.726017299893,-1751.442567247777,7.643896193667785,4200.210609035233,13293.684230386065,31.08219707884887,0.9560026561011996,53.0,35.0,104.0,258.0,362.0,18.0,840.0,842.0,18.0,10.0,8.0,0.5555555555555556,206.38240355585523,3124.7462185233326,48.0,28.0,20.0,0.5833333333333334,153.0950074250863,1688.6359363387382,21.0,10.0,11.0,0.4761904761904761,2103.756873484722,38522.304292377994,11.0,2.0,9.0,0.1818181818181818,725.2877471255176,10811.890086651409,74.0,36.0,38.0,0.4864864864864865,185.79912887747165,14642.57857749334,0.0,0.0,0.0,0.0,3823.0,3841.0,3876.0,3924.0,3940.0,3961.0,3974.0,3980.0,4166.0,4238.0,0.09284443977678555,-0.0670195340562537,0.053819750306252565,-0.41410878134887247,0.013976496331451963
4,4,4737.575051871446,2608.654760886456,14.271830872856947,4813.7533909985605,-1356.5207690897355,17.89313996835791,4856.052588868267,39456.24887621118,8.88964887666611,4881.726017299569,-1256.9902603343985,7.64389620259217,5107.534155696113,13513.491806176984,32.44724424441299,0.97313142632964,84.0,58.0,80.0,258.0,338.0,26.0,906.0,906.0,29.0,15.0,14.0,0.5172413793103449,197.41669312456503,2699.1477913500576,20.0,6.0,14.0,0.3,159.6906989609647,969.218805326558,21.0,10.0,11.0,0.4761904761904761,2092.4576591117484,39162.16063259194,8.0,2.0,6.0,0.25,730.5569997862146,10520.302991901144,78.0,39.0,39.0,0.5,180.3430250247339,14671.212796081223,0.0,0.0,0.0,0.0,4724.0,4750.0,4808.0,4828.0,4846.0,4867.0,4880.0,4888.0,5070.0,5146.0,0.07567758527674247,-0.11772079174882208,0.05303235149586978,-0.5811954339183693,0.013345405289127385
5,5,5649.276171035712,3023.345813160656,13.781458182066352,5717.366823718719,-1407.699318506588,13.977282322044635,5766.069842810836,39282.21861125388,8.754074023741175,5791.150678199713,-1265.352157657867,5.095930801728113,6016.504667003679,14111.33149765465,34.434830600542696,0.9725451170185444,64.0,43.0,93.0,263.0,356.0,21.0,908.0,909.0,28.0,14.0,14.0,0.5,191.20717137234084,3271.7044599528585,39.0,17.0,22.0,0.4358974358974359,157.901641762877,1500.2167352243182,22.0,11.0,11.0,0.5,2089.1136928257033,39060.01307004265,6.0,1.0,5.0,0.1666666666666666,866.4286143596983,11980.003475522257,81.0,41.0,40.0,0.5061728395061729,182.3194229288348,14994.542899608894,0.0,0.0,0.0,0.0,5637.0,5658.0,5701.0,5739.0,5756.0,5777.0,5790.0,5794.0,5978.0,6057.0,0.06324356629665519,-0.11217000653974389,0.05318217164616048,-0.6847331860273858,0.012920072280857188
6,6,6533.239819727451,3067.0752636258944,14.379048302742376,6593.273982689836,-1444.1795723867149,7.64389620259217,6649.385319329488,38755.217720054614,8.43153369928601,6677.150678199713,-1020.7256915327964,2.53983196324149,6898.5232269251865,13756.618615825362,34.29605234889759,0.9616807015096364,63.0,37.0,97.0,261.0,358.0,26.0,883.0,883.0,27.0,14.0,13.0,0.5185185185185185,196.57343514808255,3486.2532318263234,42.0,11.0,31.0,0.2619047619047619,188.32475348691216,1197.9523607183223,21.0,10.0,11.0,0.4761904761904761,2082.9485204047573,39134.00428842519,7.0,3.0,4.0,0.4285714285714285,521.744048026534,6868.668682922695,83.0,41.0,42.0,0.4939759036144578,192.66178551677416,15099.00734867336,0.0,0.0,0.0,0.0,6520.0,6546.0,6583.0,6595.0,6639.0,6660.0,6674.0,6680.0,6859.0,6941.0,0.06409149376911395,-0.1304025877998526,0.053746273223150974,-0.5111501085497759,0.014005024846377551
7,7,9067.444805990835,2310.8964025014952,9.501534372778876,9153.301356399426,-2410.485512683537,10.191861598721152,9183.727289196002,36399.83145410836,8.264103797118459,9222.301356399426,-1907.268801890884,10.191861603456225,9435.05292584898,13271.801706904784,31.238947133051425,0.956398339090594,72.0,59.0,92.0,245.0,337.0,13.0,2537.0,2535.0,19.0,8.0,11.0,0.4210526315789473,257.59488377132493,2638.428229200482,25.0,19.0,6.0,0.76,446.76087883786585,1959.0051580265024,20.0,10.0,10.0,0.5,2010.610832992656,35219.162088310826,26.0,14.0,12.0,0.5384615384615384,233.8361518070652,1836.4769913755863,77.0,37.0,40.0,0.4805194805194805,201.7138753312407,14090.3793153006,0.0,0.0,0.0,0.0,9064.0,9077.0,9136.0,9159.0,9174.0,9194.0,9208.0,9228.0,9398.0,9473.0,0.11146968055014671,-0.18534061975775887,0.05523681711349582,-0.1226026198170063,0.015198680615179557
8,8,9944.84410285813,3447.8591824241757,19.4357772178266,10023.62635320245,-1212.423204381029,5.025750542034932,10060.582436500068,38963.46143176083,8.79414083975763,10086.6758514243,-1210.9348382622743,1.5911934277504407,10310.700658320402,13786.553481274654,34.96508651160609,0.9734510790517268,90.0,56.0,72.0,263.0,335.0,34.0,880.0,878.0,35.0,19.0,16.0,0.5428571428571428,190.4090719994684,3882.3829322195984,11.0,7.0,4.0,0.6363636363636364,265.9197714620262,374.11218279848526,21.0,11.0,10.0,0.5238095238095238,2082.551613119514,38029.339003406625,4.0,2.0,2.0,0.5,664.9867081622899,8869.166077021546,83.0,41.0,42.0,0.4939759036144578,174.7583203963699,14907.125206538709,0.0,0.0,0.0,0.0,9927.0,9961.0,10017.0,10028.0,10050.0,10071.0,10085.0,10089.0,10272.0,10352.0,0.05522530414527909,-0.21932916699477437,0.05344883479530735,-0.5491515209163234,0.012675997712824481
9,9,10869.456399742156,3551.407165983747,20.24621603495454,10944.849321800286,-723.54112729523,4.310295082613163,10984.034001312124,40479.38677692018,8.95274043410267,11009.703301345364,-868.3305096803981,1.7907864253220056,11236.534155696114,14286.73271367173,34.97808926512226,0.9719479139040326,89.0,58.0,71.0,262.0,333.0,31.0,920.0,923.0,32.0,17.0,15.0,0.53125,212.0928869973928,3922.666730495603,6.0,3.0,3.0,0.5,245.29965652531,731.350588198432,21.0,10.0,11.0,0.4761904761904761,2127.160883038058,40327.49002962352,4.0,1.0,3.0,0.25,731.048717674076,9899.78975321592,83.0,44.0,39.0,0.5301204819277109,181.9674203707629,15181.569026488842,0.0,0.0,0.0,0.0,10853.0,10884.0,10942.0,10948.0,10974.0,10995.0,11009.0,11013.0,11193.0,11275.0,0.05972080279300857,-0.3390265560194192,0.052549236843945586,-0.8419014528732259,0.012736811419214742
