Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.20866077138548,267.12969882365473,369.27097024615585,99.0,,,,,,,,,,,,,,,
1,1,1488.027373698992,3070.628896613222,14.77859941486508,1630.301356399424,-3577.0177877836613,6.196559595207786,1661.1868958170776,35351.49613938973,8.896958790247096,1680.452034599136,-10990.392176606572,7.558100462769961,1927.232799296688,9847.537559569868,34.976793744928855,0.948029574156844,142.0,125.0,64.0,270.0,334.0,17.0,,,20.0,5.0,15.0,0.25,405.54580644073224,3439.9318402753506,19.0,12.0,7.0,0.631578947368421,553.7938957127519,605.3549153721292,20.0,11.0,9.0,0.55,2006.082065383585,29392.99188102553,13.0,3.0,10.0,0.2307692307692307,1589.841723612639,25518.274423783616,82.0,44.0,38.0,0.5365853658536586,394.5681457089683,9762.179056506631,,,,,1484.0,1501.0,1626.0,1636.0,1650.0,1670.0,1677.0,1690.0,1889.0,1960.0,0.1320725558494003,-0.15482000050547287,0.05674673732262059,-0.14465741513725705,0.04006769644920275
2,2,2318.602712798848,3801.017227080531,20.38372320691242,2458.254625777176,-2978.441916086613,4.860953948542858,2486.252845322708,37815.594239578626,8.230762404412149,2507.87669549928,-9766.997266100514,5.755997287437255,2752.9588165962564,9827.285713894422,35.81108201758233,0.9414338669021944,146.0,121.0,64.0,275.0,339.0,25.0,831.0,826.0,31.0,19.0,12.0,0.6129032258064516,279.91860210830527,4015.625695676876,12.0,7.0,5.0,0.5833333333333334,644.8745948946786,2759.482259053816,20.0,10.0,10.0,0.5,2201.583454401725,34251.43419624661,12.0,5.0,7.0,0.4166666666666667,1478.358316230133,22158.11947360941,86.0,43.0,43.0,0.5,272.1521779150344,8774.07993975647,,,,,2305.0,2330.0,2451.0,2463.0,2476.0,2496.0,2503.0,2515.0,2722.0,2790.0,0.07364307641491642,-0.21651407449368087,0.058218930541027954,-0.15136262209893803,0.027693524523282036
3,3,3133.518950632174,4274.938202590657,21.896882653868207,3293.426657418223,-3529.8085251825055,6.2516089458251525,3320.7583748737115,38946.864470793495,9.034074439072576,3340.4520345991364,-11240.727814329475,9.109808466188538,3596.63008649784,10132.855745081832,38.21948101296085,0.927935922735878,166.0,140.0,66.0,264.0,330.0,26.0,814.0,833.0,26.0,12.0,14.0,0.4615384615384615,334.8003127780672,5850.9857496748045,10.0,5.0,5.0,0.5,730.6410162660853,4296.245763438203,21.0,12.0,9.0,0.5714285714285714,2216.115255617631,31288.012057698605,20.0,4.0,16.0,0.2,1538.9993455437077,25967.868005482225,75.0,53.0,22.0,0.7066666666666667,297.0424722287576,10299.220937308435,,,,,3122.0,3148.0,3288.0,3298.0,3309.0,3330.0,3337.0,3354.0,3545.0,3618.0,0.07831699475215215,-0.20699168554144398,0.0569009928200898,-0.13691278456025058,0.029314783482724763
4,4,3963.821948101296,3182.3047992933225,19.38986552565315,4120.061065505639,-3666.881837209268,5.466082349570096,4146.372481849141,37075.71736692349,8.984876117830407,4164.876695499281,-10497.680790680592,9.749247856318252,4408.344391968566,9356.59711130581,38.00306934396934,0.948149971140061,163.0,135.0,65.0,265.0,330.0,28.0,824.0,826.0,39.0,14.0,25.0,0.358974358974359,291.34696156286617,3259.310559696839,9.0,6.0,3.0,0.6666666666666666,809.990743533057,5260.505805063559,20.0,11.0,9.0,0.55,2105.352228577314,31262.755921793905,17.0,3.0,14.0,0.1764705882352941,1501.1148444292078,24757.807170300748,84.0,36.0,48.0,0.4285714285714285,328.79006061090814,11072.750880678774,,,,,3951.0,3979.0,4114.0,4122.0,4135.0,4155.0,4162.0,4179.0,4375.0,4444.0,0.09155218621031022,-0.2208936037463132,0.05678520546862217,-0.1429949028133753,0.03513991857292038
5,5,4796.123304500719,3507.2854310795083,12.739827004320285,4892.273982700431,-3251.7376657862137,7.64389620259217,4980.056771376096,36483.47327645281,8.556068913729009,4998.301356399425,-8928.648415255853,9.684061376995434,5242.555965663805,9466.676620085344,34.22513030689477,0.9387475386453024,95.0,67.0,127.0,276.0,403.0,28.0,834.0,832.0,53.0,29.0,24.0,0.5471698113207547,285.2218914269888,2670.8475858128368,15.0,10.0,5.0,0.6666666666666666,452.5068166049623,2880.2036111719126,20.0,11.0,9.0,0.55,2098.1015816446175,30572.351114638797,17.0,3.0,14.0,0.1764705882352941,1454.7107267521444,22182.76001392792,75.0,30.0,45.0,0.4,269.4158393908294,8563.693475796768,,,,,4789.0,4817.0,4884.0,4894.0,4969.0,4989.0,4996.0,5011.0,5214.0,5287.0,0.08132269158920444,-0.13915846329367224,0.05750827410938354,-0.16292619656370008,0.028459389731261418
6,6,5621.821948101295,3658.8163749413097,21.13239456990912,5775.2466090014395,-2476.9145923513283,25.479654004556856,5808.9365793735915,37712.65312847443,9.945143608480148,5826.876695499281,-16728.12854167877,8.765778366240024,6070.694745016396,9880.618337170996,37.27654129764083,0.956311110721536,152.0,130.0,79.0,270.0,349.0,22.0,824.0,829.0,23.0,14.0,9.0,0.6086956521739131,358.0629377462353,4734.125608359625,24.0,14.0,10.0,0.5833333333333334,395.6548162226446,200.24547815812264,20.0,12.0,8.0,0.6,2145.579615591834,27114.621702489472,16.0,3.0,13.0,0.1875,1749.7453078715985,28567.826995177,75.0,36.0,39.0,0.48,354.8463539163555,12037.029591616418,,,,,5609.0,5631.0,5761.0,5785.0,5797.0,5817.0,5824.0,5840.0,6035.0,6110.0,0.09786305216040773,-0.15973696365810117,0.05689283138692365,-0.10459898747860776,0.035913375236995
7,7,6437.151509049835,3450.0916704854194,15.28779240518434,6595.912779261227,-3013.0808582380528,5.260666538175988,6625.504148789025,37322.552629400045,8.455130292118461,6646.027373698993,-8239.140222629861,8.275892871155174,6899.931442897265,9060.209881960724,35.4933795377328,0.9194259511413349,166.0,146.0,67.0,271.0,338.0,20.0,819.0,817.0,20.0,14.0,6.0,0.7,312.8093753434246,4700.208969611093,13.0,7.0,6.0,0.5384615384615384,565.109646857236,2407.9532823215436,20.0,11.0,9.0,0.55,2197.8154279016426,31457.01900648145,15.0,4.0,11.0,0.2666666666666666,1445.7763585810856,22001.89565156404,80.0,51.0,29.0,0.6375,250.74421111823796,9692.42218693579,,,,,6423.0,6443.0,6589.0,6602.0,6615.0,6635.0,6642.0,6656.0,6856.0,6927.0,0.09066697503124986,-0.18755210146855897,0.058887060853666275,-0.17547660550916153,0.027675320371714645
8,8,7267.75339099856,4305.843978203511,20.93970841848685,7413.651039488946,-2105.671224732936,4.512212256556756,7443.332082480636,38327.08424804606,8.696008869020035,7462.452034599137,-10366.200115933792,7.450810127305664,7703.986190295249,10187.399128651396,40.96737317215077,0.9446479076222536,158.0,124.0,65.0,280.0,345.0,34.0,835.0,819.0,50.0,25.0,25.0,0.5,250.866142363536,2768.883774799084,14.0,8.0,6.0,0.5714285714285714,572.9964613959123,3160.2686743931836,19.0,10.0,9.0,0.5263157894736842,2269.8273561442807,34784.063801107026,14.0,3.0,11.0,0.2142857142857142,1620.7058061313342,25148.617995431083,77.0,30.0,47.0,0.3896103896103896,299.81026836000063,12614.295297736317,,,,,7248.0,7282.0,7406.0,7415.0,7433.0,7452.0,7459.0,7471.0,7674.0,7751.0,0.05826178180942883,-0.27212057355657976,0.05922254198765453,-0.15634521695564818,0.02942952019194024
9,9,8887.301356399426,2761.54622378319,10.191861603456228,9032.72601729957,-4289.22325110137,7.64389620259217,9058.566128499757,36767.59361234044,8.532606631950971,9079.027373698991,-8696.915557058815,10.438666894267564,9326.657460196831,8484.974635749233,33.41803160447631,0.938156080258083,135.0,126.0,69.0,269.0,338.0,9.0,1617.0,1615.0,27.0,19.0,8.0,0.7037037037037037,307.8758378326627,2149.7648011810656,18.0,13.0,5.0,0.7222222222222222,873.8441872962867,4170.1032899708935,20.0,11.0,9.0,0.55,2158.2103856909735,30006.904398186693,15.0,5.0,10.0,0.3333333333333333,1362.581565284585,22678.54381534649,87.0,47.0,40.0,0.5402298850574713,312.67050788859945,7865.148032148551,,,,,8885.0,8894.0,9020.0,9037.0,9048.0,9068.0,9074.0,9089.0,9286.0,9358.0,0.11148675882415146,-0.20373017120801637,0.05869871192676057,-0.1566741169722697,0.036849904838989575
