Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.106524845986165,211.6991093108971,280.7541665112431,324.0,,,,,,,,,,,,,,,
1,1,1845.0071580080737,4800.615551641279,24.31258344704024,1912.068557102652,-2868.1636533430396,48.411342616385056,2001.4061276162656,42391.85375420598,11.73088792239876,2022.328730098429,-23324.322436860683,12.29879119052086,2300.6848338958243,16644.211155677778,37.15387822330782,0.9349573325604852,65.0,31.0,156.0,301.0,457.0,34.0,,,34.0,25.0,9.0,0.7352941176470589,180.2677476512431,3215.428855762518,69.0,28.0,41.0,0.4057971014492754,138.80227531067888,2888.482277649971,26.0,16.0,10.0,0.6153846153846154,1982.9166421557256,24515.1068181472,26.0,6.0,20.0,0.2307692307692307,1622.3559165926688,35294.82828001838,99.0,57.0,42.0,0.5757575757575758,184.5568332192883,15920.44963450888,,,,,1820.0,1854.0,1885.0,1953.0,1985.0,2011.0,2016.0,2041.0,2249.0,2342.0,0.03755096522770116,-0.04839412672596119,0.04677588891613373,-0.06955640066220198,0.01108834966662455
2,2,2979.452034599143,3869.762273472869,12.963320816007956,3095.452034603561,-3971.174099516083,15.28779240518413,3133.5276988567844,47947.79274745791,11.142062428746213,3153.602712798848,-22669.74073724435,17.458898980312078,3428.1242636953875,13800.435837950212,35.92820547146087,0.9420866951908724,60.0,34.0,157.0,295.0,452.0,26.0,1139.0,1135.0,27.0,17.0,10.0,0.6296296296296297,277.04966799263167,2810.392471476215,86.0,73.0,13.0,0.8488372093023255,309.2711206486013,2011.0774548654656,25.0,16.0,9.0,0.64,1939.2455678935416,21446.87325981615,34.0,5.0,29.0,0.1470588235294117,1707.8703329470873,39162.99049066547,91.0,43.0,48.0,0.4725274725274725,179.269715617243,13776.39796146422,,,,,2962.0,2988.0,3022.0,3104.0,3118.0,3143.0,3149.0,3179.0,3386.0,3474.0,0.07159345934291643,-0.07787901333418958,0.040444939313632036,-0.07533700330949131,0.012990148841840495
3,3,4060.517122089725,4707.425288735073,22.931688607756257,4136.917870375653,-3091.5234999695112,53.50727341814519,4221.229483888779,46751.479199326765,11.497668466518078,4240.602712798849,-24616.88922317446,15.038663598447332,4510.729044172489,15114.131468320898,37.08047581651122,0.9422618257385812,50.0,31.0,159.0,295.0,454.0,19.0,1082.0,1085.0,38.0,24.0,14.0,0.631578947368421,285.1346301444197,3499.834545752655,45.0,32.0,13.0,0.7111111111111111,213.1040676986408,2725.014191929673,27.0,17.0,10.0,0.6296296296296297,1896.497631788421,20952.62429174297,30.0,5.0,25.0,0.1666666666666666,1696.4141234715091,37304.73369865441,104.0,55.0,49.0,0.5288461538461539,201.79884127205187,14861.982827366432,,,,,4055.0,4074.0,4105.0,4149.0,4204.0,4231.0,4236.0,4264.0,4470.0,4559.0,0.06057124917664661,-0.06893173145885595,0.040565510744646795,-0.068912611503914,0.013351666398762023
4,4,5222.602712798849,3927.4977280910575,18.948190148256725,5345.726017299569,-4240.161862640109,7.643896202591865,5380.556417123096,40859.41135170081,12.255566345246809,5400.7533909985605,-25561.08886872644,12.46942264315452,5673.9912685570025,15630.982639277274,37.416362693214886,0.9433116983970006,141.0,101.0,87.0,298.0,385.0,40.0,1162.0,1158.0,43.0,29.0,14.0,0.6744186046511628,242.8486896832387,3134.920609549828,52.0,48.0,4.0,0.9230769230769232,637.1409797624522,3341.4902426615663,27.0,18.0,9.0,0.6666666666666666,1923.4312116985784,17605.402679544328,29.0,7.0,22.0,0.2413793103448276,1583.0898692950282,35076.08674607598,96.0,48.0,48.0,0.5,201.631151863592,15358.189102535673,,,,,5194.0,5234.0,5335.0,5350.0,5363.0,5390.0,5395.0,5422.0,5627.0,5720.0,0.06183292938562034,-0.15026336267402315,0.04707437400755687,-0.061933584966793485,0.012899454661086796
5,5,6342.32873009847,3864.219493610549,21.157286975504483,6430.164646635657,-3529.389129451136,30.57558481007431,6503.707295487181,46438.79217210524,11.111603167366711,6523.602712798875,-22650.988247314104,15.73260804472406,6794.530873890932,14643.777666296775,39.08475665568742,0.9422732968869918,96.0,59.0,131.0,296.0,427.0,37.0,1121.0,1126.0,50.0,33.0,17.0,0.66,250.51081435515889,3220.358935887438,40.0,13.0,27.0,0.325,223.1258017753758,3967.700482978301,25.0,16.0,9.0,0.64,1960.7572634900932,22463.543954227713,30.0,5.0,25.0,0.1666666666666666,1752.9839359584648,37837.433018274925,93.0,43.0,50.0,0.4623655913978494,185.64900887530257,14560.762526716228,,,,,6321.0,6358.0,6417.0,6457.0,6488.0,6513.0,6519.0,6548.0,6753.0,6844.0,0.06482830873592357,-0.06321938261595843,0.04222240010514048,-0.07739105759177325,0.012677671916761
6,6,7429.0875749375555,5423.334394617691,15.28779240518434,7506.890505204032,-3866.5630226738754,71.34303122265435,7584.58063739844,46952.19268491367,11.398929217866373,7604.602712798849,-22279.79102757498,15.18175165695713,7875.6096643677,14619.473209623677,35.786386444529306,0.916902974141619,45.0,31.0,162.0,294.0,456.0,14.0,1083.0,1080.0,16.0,8.0,8.0,0.5,306.6862885175161,3682.7315926329497,93.0,42.0,51.0,0.4516129032258064,171.02685650305818,2969.854392167144,25.0,16.0,9.0,0.64,2036.350824795795,22205.13108166128,32.0,6.0,26.0,0.1875,1612.902127028517,37226.34070010425,91.0,44.0,47.0,0.4835164835164835,176.09057370889775,14756.15945423475,,,,,7422.0,7436.0,7467.0,7556.0,7569.0,7594.0,7600.0,7629.0,7832.0,7923.0,0.05654939677366796,-0.04423226920139184,0.04337072899792601,-0.07239305454132312,0.012044932890809035
7,7,8561.630086497842,3856.1724638527967,21.48188685424109,8653.301356399426,-3881.9677978655623,10.191861603456228,8726.586904531869,40399.44001338442,11.023757213495523,8748.47940829813,-20004.195999776057,12.656795280195398,9018.68973777338,15847.713680657413,36.463747743041225,0.9393526389923548,72.0,29.0,156.0,297.0,453.0,43.0,1138.0,1141.0,58.0,35.0,23.0,0.603448275862069,196.8746084545815,2957.4748931800714,47.0,41.0,6.0,0.8723404255319149,256.6625417928319,3434.0342555572283,26.0,16.0,10.0,0.6153846153846154,1950.4734046727576,21292.60851368431,29.0,7.0,22.0,0.2413793103448276,1493.175543536287,31995.280357708976,94.0,47.0,47.0,0.5,173.90558273435744,15649.063231942397,,,,,8540.0,8583.0,8612.0,8659.0,8711.0,8737.0,8741.0,8768.0,8976.0,9065.0,0.05105440959917006,-0.06611660764778979,0.04827971387787954,-0.0746431170516927,0.010973543959632119
8,8,9721.60271279885,3620.791377438718,17.015528463991817,9819.876695499284,-3866.739459255193,12.739827004320285,9876.70703227302,47703.81905821241,11.264556570187557,9896.60271279885,-25050.998174710632,14.364485460194636,10168.962714702218,14863.898700607837,36.34083015043681,0.9408776872088956,62.0,42.0,143.0,297.0,440.0,20.0,1157.0,1152.0,44.0,31.0,13.0,0.7045454545454546,344.45540989727886,2631.7772798119204,70.0,61.0,9.0,0.8714285714285714,241.51179556383536,2551.775757983656,26.0,17.0,9.0,0.6538461538461539,2072.766955756059,22402.822810681395,27.0,5.0,22.0,0.1851851851851851,1801.5292798429452,39882.391544687955,91.0,43.0,48.0,0.4725274725274725,279.78345871791277,14688.611927925724,,,,,9713.0,9733.0,9775.0,9827.0,9860.0,9886.0,9892.0,9918.0,10129.0,10215.0,0.09513263096117412,-0.06245877130039557,0.04345075502711189,-0.07191447092362238,0.018823019744239205
9,9,10806.114032400974,3801.493580974616,11.373808483649848,10897.027373698991,-4126.730466005893,17.835757806048395,10956.657467596871,46896.46320395594,10.87604175052525,10976.027373698991,-22374.97969880809,16.906395674490735,11248.90296626621,13468.979834920428,37.556805201286494,0.9439842570304756,50.0,27.0,160.0,292.0,452.0,23.0,1081.0,1079.0,23.0,13.0,10.0,0.5652173913043478,279.4189311640157,4709.3628303095775,64.0,54.0,10.0,0.84375,231.0766637793394,2712.218024705873,25.0,16.0,9.0,0.64,1898.1819160103337,21172.570830582074,33.0,4.0,29.0,0.1212121212121212,1753.8962355425208,38512.251392432474,93.0,45.0,48.0,0.4838709677419355,261.7092952509469,14383.546493510536,,,,,10793.0,10816.0,10843.0,10907.0,10941.0,10966.0,10972.0,11003.0,11205.0,11295.0,0.07350240772795914,-0.05599509482939161,0.04047601431594127,-0.07838649505616985,0.019430520979207704
