Unnamed: 0,cycle,p_center,p_height,p_width,q_center,q_height,q_width,r_center,r_height,r_width,s_center,s_height,s_width,t_center,t_height,t_width,r_squared,pr_interval,pr_segment,qrs_duration,st_segment,qt_interval,p_duration,pp_interval,rr_interval,fwhm_p,rise_time_p,decay_time_p,rise_decay_symmetry_p,sharpness_deriv_p,sharpness_diff_p,fwhm_q,rise_time_q,decay_time_q,rise_decay_symmetry_q,sharpness_deriv_q,sharpness_diff_q,fwhm_r,rise_time_r,decay_time_r,rise_decay_symmetry_r,sharpness_deriv_r,sharpness_diff_r,fwhm_s,rise_time_s,decay_time_s,rise_decay_symmetry_s,sharpness_deriv_s,sharpness_diff_s,fwhm_t,rise_time_t,decay_time_t,rise_decay_symmetry_t,sharpness_deriv_t,sharpness_diff_t,Average_Heart_Rate,SDNN,RMSSD,NN50,p_on,p_off,q_on,q_off,r_on,r_off,s_on,s_off,t_on,t_off,sharpness_deriv_p_norm,sharpness_deriv_q_norm,sharpness_deriv_r_norm,sharpness_deriv_s_norm,sharpness_deriv_t_norm
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.16840011087668,223.02071464357863,316.360407285473,473.0,,,,,,,,,,,,,,,
1,1,1647.519607674931,1520.9008928820665,9.094364660966134,1720.852647134593,-2545.306954870014,25.47965400864057,1766.547965400864,10348.382486236484,8.050447031189675,1787.698643600576,-7641.655102665669,10.191861603456228,1996.84598712905,5459.2927046942905,34.065985732329494,0.8586518679896806,50.0,42.0,114.0,227.0,341.0,8.0,,,8.0,4.0,4.0,0.5,266.09216701000145,1786.6215237094675,78.0,46.0,32.0,0.5897435897435898,261.931442839258,2008.8426499342709,16.0,9.0,7.0,0.5625,794.1758826478915,7883.782247832552,27.0,6.0,21.0,0.2222222222222222,566.130072306855,11601.771380576189,80.0,41.0,39.0,0.5125,239.97956531025767,6008.650322978746,,,,,1644.0,1652.0,1694.0,1729.0,1758.0,1774.0,1782.0,1808.0,1961.0,2035.0,0.1749569404918712,-0.10290760504861565,0.0767439630013829,-0.07408474534651134,0.043957995713237004
2,2,2459.87669549928,1877.9161725171216,10.508621529181532,2531.2739827003943,-2265.5137303262736,7.64389620259217,2574.5479654007986,9789.947254962475,6.733166158506182,2602.7093681876772,-6522.809003058113,11.404442533900008,2800.5205917018716,4979.681028490499,33.12355021123273,0.8698565465306699,70.0,59.0,90.0,232.0,322.0,11.0,814.0,808.0,12.0,4.0,8.0,0.3333333333333333,237.18611489402727,2138.791916962162,15.0,4.0,11.0,0.2666666666666666,361.7806426544834,1957.851747577138,17.0,10.0,7.0,0.5882352941176471,749.4393463769031,8623.851194716863,27.0,13.0,14.0,0.4814814814814814,499.7534562344972,7470.933714570567,67.0,19.0,48.0,0.2835820895522388,285.2791539509823,5055.089082172127,,,,,2457.0,2468.0,2527.0,2537.0,2566.0,2582.0,2590.0,2617.0,2782.0,2849.0,0.12630282350468697,-0.15969033328364807,0.07655192891841334,-0.07661629460562097,0.05728864003915117
3,3,3188.054747397984,1981.9485251624424,17.54017611322462,3280.150678199846,-1047.1938138948778,5.095930801726698,3313.9191411644892,10279.449645655915,8.446447320618768,3335.12330450072,-6850.169578235161,12.73982700432028,3551.9588165962564,6340.485353836547,40.86042330221192,0.8536622768619021,102.0,71.0,75.0,235.0,310.0,31.0,732.0,739.0,45.0,22.0,23.0,0.4888888888888889,123.80700804625192,1956.892371095238,4.0,1.0,3.0,0.25,308.1402879333194,703.840913670567,15.0,11.0,4.0,0.7333333333333333,727.6896512317716,6652.943989844267,26.0,7.0,19.0,0.2692307692307692,420.0852380756607,10131.511804179798,93.0,55.0,38.0,0.5913978494623656,193.72536786314691,6548.539611796807,,,,,3177.0,3208.0,3279.0,3283.0,3304.0,3318.0,3328.0,3354.0,3497.0,3589.0,0.062467317629303507,-0.2942533500911723,0.07079072093507384,-0.061324793974500275,0.030553712697392505
4,4,3901.485174608402,1996.3737110209545,10.37002527829224,3965.273982700432,-2190.724250106201,7.64389620259217,4025.543444687531,10641.749310320314,8.357443750784286,4044.698643600575,-7495.045566495153,10.191861603456228,4250.159721989959,5991.80688260154,38.86386344614769,0.892848688323359,68.0,52.0,103.0,230.0,333.0,16.0,706.0,712.0,25.0,12.0,13.0,0.48,211.14479919393912,2894.417382894717,18.0,4.0,14.0,0.2222222222222222,256.5636167176101,1888.863593091542,19.0,13.0,6.0,0.6842105263157895,801.8063707289919,5393.278415907365,26.0,6.0,20.0,0.2307692307692307,575.3396985139067,11226.162793012512,74.0,30.0,44.0,0.4054054054054054,165.36477145114586,6331.512762216345,,,,,3893.0,3909.0,3961.0,3969.0,4014.0,4031.0,4039.0,4064.0,4220.0,4294.0,0.10576416531049125,-0.11711360601644526,0.07534535416572952,-0.07676266854011243,0.027598481508360515
5,5,4620.273982700431,1647.601500140405,7.6438962025921695,4718.027373698993,-2223.0922743551973,17.8357578060484,4745.157017559533,11528.218625458005,7.738007366991667,4771.7533909985605,-6423.609847308299,13.330063491459748,4971.405821646854,5697.255850854675,38.22909269711923,0.8914287220052258,95.0,83.0,75.0,229.0,304.0,12.0,719.0,722.0,20.0,4.0,16.0,0.2,253.21731519940977,1992.322905366676,19.0,8.0,11.0,0.4210526315789473,286.36194727409554,611.5202520431817,16.0,9.0,7.0,0.5625,803.4539926758796,9141.575802621412,26.0,12.0,14.0,0.4615384615384615,472.6876369015632,8220.30447040278,87.0,42.0,45.0,0.4827586206896552,200.80502763577576,6278.730232186637,,,,,4616.0,4628.0,4711.0,4728.0,4736.0,4752.0,4760.0,4786.0,4932.0,5015.0,0.1536884466163882,-0.1288124431799189,0.06969454854903562,-0.07358598173574235,0.035245920648912396
6,6,5355.301356399425,1563.9284427289554,8.593913864309794,5447.027373698993,-2111.987626999126,17.8357578060484,5473.547965400863,11190.027308450632,7.851978706078692,5499.362192431854,-7192.955096729598,15.348448822201192,5702.835512095537,5259.742531669417,35.77815352103092,0.8907653344310069,90.0,78.0,71.0,233.0,304.0,12.0,738.0,726.0,25.0,14.0,11.0,0.56,239.6479837158078,1437.9894137905674,15.0,5.0,10.0,0.3333333333333333,203.94428353529844,412.5850771874332,14.0,9.0,5.0,0.6428571428571429,789.2251823145258,7068.411093139051,26.0,11.0,15.0,0.4230769230769231,518.5903787333718,9549.744895108795,90.0,45.0,45.0,0.5,208.49723027092645,5073.449808582114,,,,,5353.0,5365.0,5443.0,5457.0,5465.0,5478.0,5488.0,5514.0,5659.0,5747.0,0.15323462197390397,-0.09656509390875463,0.07052933478710176,-0.07209698541968626,0.03964019702780973
7,7,6056.726017299569,1982.6640729760256,7.64389620259217,6138.698643600575,-2153.649768246016,10.191861603456228,6172.384500335454,10652.7616834553,8.112322271338103,6193.123304500719,-7432.148776851757,12.739827004320166,6405.383477496401,5892.125630304141,36.687765168328845,0.8766234488296826,92.0,67.0,82.0,231.0,313.0,25.0,701.0,701.0,25.0,21.0,4.0,0.84,193.70062434239523,1136.5950581220172,27.0,12.0,15.0,0.4444444444444444,221.62503330777153,1261.3114290899607,14.0,9.0,5.0,0.6428571428571429,771.7976913288727,7190.89653288291,25.0,7.0,18.0,0.28,504.1607845016895,9931.720863792923,95.0,51.0,44.0,0.5368421052631579,207.5004765248817,5478.3272513771335,,,,,6036.0,6061.0,6128.0,6141.0,6163.0,6177.0,6186.0,6210.0,6355.0,6441.0,0.0976971474807863,-0.10290671982764787,0.07245047944023231,-0.06783513081330578,0.03521657370265048
8,8,6792.301356399425,1876.8897263117144,7.8219291367626065,6884.498793752842,-2662.5786317432007,7.64389620259217,6911.972626301007,9607.452729757508,7.456635470925528,6939.342269642213,-6942.039626320163,12.4017737741927,7141.022378944622,5478.709383912396,36.0397852505263,0.8758773150034981,102.0,84.0,71.0,233.0,304.0,18.0,736.0,737.0,20.0,14.0,6.0,0.7,201.7444394582711,1852.578256439978,37.0,24.0,13.0,0.6486486486486487,277.6488377617105,1116.2248250546504,19.0,10.0,9.0,0.5263157894736842,704.5685880238501,7555.734063910877,27.0,12.0,15.0,0.4444444444444444,486.14577555876934,8884.092865783186,89.0,44.0,45.0,0.4943820224719101,157.90861509104732,5713.246573949169,,,,,6780.0,6798.0,6882.0,6896.0,6902.0,6920.0,6927.0,6953.0,7097.0,7186.0,0.10748870145648894,-0.10427817396699106,0.07333562889584297,-0.07002924237360851,0.0288222287450997
9,9,7599.726017299569,1767.651240338037,7.643896202524011,7662.150678199713,-2616.6552304384886,5.095930801728113,7711.123304500719,10222.10735579045,6.421093718730163,7741.060652595201,-7121.567540655277,10.034697058581608,7940.63826019208,5461.409820860045,37.38365941957145,0.8729581485754507,56.0,50.0,99.0,233.0,332.0,6.0,807.0,800.0,11.0,7.0,4.0,0.6363636363636364,288.1736987360752,1104.6708178351942,13.0,9.0,4.0,0.6923076923076923,256.4492040655223,2582.1106040980612,17.0,7.0,10.0,0.4117647058823529,691.6408283177029,9925.74825138002,27.0,13.0,14.0,0.4814814814814814,519.1658206982825,7718.590378332553,92.0,42.0,50.0,0.4565217391304347,192.93575201974093,5875.569845481425,,,,,7598.0,7604.0,7654.0,7665.0,7704.0,7721.0,7728.0,7753.0,7900.0,7986.0,0.16302633243476597,-0.09800649358859079,0.06766127611895151,-0.07290049806232862,0.03532709654617313
