,center,height,width
p,520183.7684510465,2358.0353137090365,13.341958047285527
q,520295.5380925064,-4361.953503896603,16.943981397968916
r,520329.6530252978,36331.55507250346,9.770371215664287
s,520362.02949523873,-8881.284201033317,13.258270441786975
t,520588.38011684996,9987.858609798988,34.574428992235525
